"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,0.161624029124982,0.128371034784948,0.272823764904903,0.139075827285652,0.0790185140020039,0.160489961502001,0.11228525988376,0.176819794449714,0.14562067242032,0.141200850757068,0.0980668327498184,0.149348679214218,0.0846904946124798,0.0373833533476977,0.0413755032527285,0.113617660534502,0.0524118313698124,0.00307904682836868,0.140309844231753,0.0257373614691292,0.0831550772972457,0.0241063974202016,0.306201661137644
"Actinomyces",0.161624029124982,1,0.312032388159813,0.356550074064952,0.383787988244168,0.168952941575959,0.436609793386068,0.273684658520376,0.305914239631602,0.582710655355397,0.423869213568339,0.255612880326571,0.646650538548747,0.0700903426000781,0.0417692412129426,0.115953458245143,0.200778878594817,0.0721099721942215,0.00900673266134855,0.0993188525826276,0.174682317231602,0.216014077398961,0.0549644385166697,0.0610408213502056
"Fusobacterium",0.128371034784948,0.312032388159813,1,0.259595568165109,0.279469194547727,0.0752041589636412,0.384871821881948,0.141083830233928,0.424525954520306,0.209346103134635,0.140481292267308,0.0933564958595414,0.261882392253317,0.0430523334960843,0.0364802352294309,0.0569814772226219,0.0679729234931221,0.0246794285944529,0.00595303664392155,0.0459175552099874,0.0970689834283152,0.112534630318497,0.0237045900512812,0.00523814958595392
"Gemella",0.272823764904903,0.356550074064952,0.259595568165109,1,0.409861909681073,0.134700900939877,0.322193445084898,0.26255310152582,0.306207230402296,0.258997878482364,0.291438075439743,0.193280232528001,0.304859900574863,0.0757793177397444,0.0941737624576433,0.0746081955966914,0.152131096077164,0.0533193948440687,0.00331016879282853,0.117575300205492,0.106940059915425,0.171633210041398,0.0476416364144945,0.0034058866419816
"Granulicatella",0.139075827285652,0.383787988244168,0.279469194547727,0.409861909681073,1,0.124658647182957,0.382532848005467,0.207909564628651,0.253434820892007,0.281219966141994,0.223404503029743,0.137750902367367,0.330440946365255,0.0342913840122205,0.0850604339037329,0.0515941138668969,0.107121573958021,0.0365410985336911,0.00608378037627721,0.0944134397438862,0.0923367161610749,0.145038519758176,0.0300104024960929,0.00700428563944022
"Haemophilus",0.0790185140020039,0.168952941575959,0.0752041589636412,0.134700900939877,0.124658647182957,1,0.1128178515965,0.223550192427713,0.125519808739786,0.19099398427654,0.263128487330482,0.304195277517201,0.183038453877508,0.0387459166915984,0.104137869224744,0.0705819188730781,0.142265536091258,0.281268325792222,0.0363231337181908,0.10160259221199,0.107815519012504,0.227849561546016,0.268232690183636,0.00672436820160982
"Leptotrichia",0.160489961502001,0.436609793386068,0.384871821881948,0.322193445084898,0.382532848005467,0.1128178515965,1,0.181923716420978,0.242032959761785,0.320403077072123,0.19593543691958,0.112077690738582,0.44316114838471,0.0296241237776693,0.03161995907527,0.0661308405811086,0.117644301406345,0.0293654735818077,0.00584642572973626,0.0873508120974953,0.123111670930152,0.147770728975344,0.0308711388709386,0.0119929193578081
"Neisseria",0.11228525988376,0.273684658520376,0.141083830233928,0.26255310152582,0.207909564628651,0.223550192427713,0.181923716420978,1,0.214900636639463,0.333366312319264,0.452107059992037,0.38286330853258,0.229876768325763,0.0471222225426865,0.0690019641747801,0.138575926166616,0.289026837144182,0.145110639790981,0.010022086055422,0.0639629461603396,0.205606096718335,0.278109040150686,0.137368979555765,0.0393459120554599
"Porphyromonas",0.176819794449714,0.305914239631602,0.424525954520306,0.306207230402296,0.253434820892007,0.125519808739786,0.242032959761785,0.214900636639463,1,0.273726262774541,0.226962229755401,0.165772819706272,0.269244111867749,0.0403971732508692,0.141171557957028,0.0747633405088844,0.139186093528889,0.062076254910013,0.00305973750394517,0.0339489778488937,0.122937493592452,0.150493640796172,0.0433773006261582,0.00463449338083133
"Prevotella",0.14562067242032,0.582710655355397,0.209346103134635,0.258997878482364,0.281219966141994,0.19099398427654,0.320403077072123,0.333366312319264,0.273726262774541,1,0.550562184835722,0.382300395027511,0.603685330942603,0.0931513101048879,0.0456475860650506,0.134549706220645,0.185320802171617,0.125266561776247,0.00383255463342669,0.0599572887506576,0.129224343361854,0.246755741231523,0.0985003086629656,0.0432396629737698
"Rothia",0.141200850757068,0.423869213568339,0.140481292267308,0.291438075439743,0.223404503029743,0.263128487330482,0.19593543691958,0.452107059992037,0.226962229755401,0.550562184835722,1,0.507421271975798,0.456381505973774,0.0472928295638378,0.067547163244042,0.135057686129932,0.225929678154124,0.188461293184781,0.0126441524514679,0.0779488522072309,0.224977714451579,0.35608805139501,0.148654180856542,0.0260927349751185
"Streptococcus",0.0980668327498184,0.255612880326571,0.0933564958595414,0.193280232528001,0.137750902367367,0.304195277517201,0.112077690738582,0.38286330853258,0.165772819706272,0.382300395027511,0.507421271975798,1,0.277598839483758,0.111952533294345,0.0728653270009588,0.232302264897915,0.193191832497579,0.353468317736088,0.0185981168719945,0.0574064252865275,0.148664218236431,0.261414322303287,0.283153019403369,0.0691824733572699
"Veillonella",0.149348679214218,0.646650538548747,0.261882392253317,0.304859900574863,0.330440946365255,0.183038453877508,0.44316114838471,0.229876768325763,0.269244111867749,0.603685330942603,0.456381505973774,0.277598839483758,1,0.047608257005652,0.036468669514111,0.101945660067629,0.191170765323403,0.0857283102023878,0.00734622778777771,0.0919787191434494,0.144447154421435,0.237394450677162,0.0812876170577697,0.0306120784645317
"Klebsiella",0.0846904946124798,0.0700903426000781,0.0430523334960843,0.0757793177397444,0.0342913840122205,0.0387459166915984,0.0296241237776693,0.0471222225426865,0.0403971732508692,0.0931513101048879,0.0472928295638378,0.111952533294345,0.047608257005652,1,0.00876621423441093,0.0345139592118707,0.0474346544180622,0.0774698102984753,0,0.0424162500844881,0.00598758279240996,0.131592841376378,0.0787027665629898,0.152916729044974
"Moraxella",0.0373833533476977,0.0417692412129426,0.0364802352294309,0.0941737624576433,0.0850604339037329,0.104137869224744,0.03161995907527,0.0690019641747801,0.141171557957028,0.0456475860650506,0.067547163244042,0.0728653270009588,0.036468669514111,0.00876621423441093,1,0.0583746458026149,0.0191011310124427,0.0484492479621009,0.0171833613436242,0.00667690955968847,0.0156748369918391,0.0353659428575714,0.0331026044328179,0
"Pseudomonas",0.0413755032527285,0.115953458245143,0.0569814772226219,0.0746081955966914,0.0515941138668969,0.0705819188730781,0.0661308405811086,0.138575926166616,0.0747633405088844,0.134549706220645,0.135057686129932,0.232302264897915,0.101945660067629,0.0345139592118707,0.0583746458026149,1,0.08248494766567,0.219155760580683,0.00877259387785878,0.0976585432077992,0.0529305782744842,0.095396502331065,0.18789758115814,0.0454444172740606
"Aspergillus",0.113617660534502,0.200778878594817,0.0679729234931221,0.152131096077164,0.107121573958021,0.142265536091258,0.117644301406345,0.289026837144182,0.139186093528889,0.185320802171617,0.225929678154124,0.193191832497579,0.191170765323403,0.0474346544180622,0.0191011310124427,0.08248494766567,1,0.0327281356004244,0.013146470593934,0.278354894310733,0.070865997524699,0.246311198717548,0.078341150181044,0.000107186900630163
"Candida",0.0524118313698124,0.0721099721942215,0.0246794285944529,0.0533193948440687,0.0365410985336911,0.281268325792222,0.0293654735818077,0.145110639790981,0.062076254910013,0.125266561776247,0.188461293184781,0.353468317736088,0.0857283102023878,0.0774698102984753,0.0484492479621009,0.219155760580683,0.0327281356004244,1,0.00767342172775087,0.0104430854330984,0.0611206159273772,0.0696021656382357,0.641609186088381,0.0904739475867448
"Cryptococcus",0.00307904682836868,0.00900673266134855,0.00595303664392155,0.00331016879282853,0.00608378037627721,0.0363231337181908,0.00584642572973626,0.010022086055422,0.00305973750394517,0.00383255463342669,0.0126441524514679,0.0185981168719945,0.00734622778777771,0,0.0171833613436242,0.00877259387785878,0.013146470593934,0.00767342172775087,1,0.0543959652182343,0.0212176595898025,0.00712289593723681,0.0082407131164306,0
"Penicillium",0.140309844231753,0.0993188525826276,0.0459175552099874,0.117575300205492,0.0944134397438862,0.10160259221199,0.0873508120974953,0.0639629461603396,0.0339489778488937,0.0599572887506576,0.0779488522072309,0.0574064252865275,0.0919787191434494,0.0424162500844881,0.00667690955968847,0.0976585432077992,0.278354894310733,0.0104430854330984,0.0543959652182343,1,0.0689355552304062,0.166687712547126,0.0313874943988357,0.000169242406700243
