"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0.114415699995228,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0.383958587211629,0.296771939850507,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0.139177036577529,0,0,0,0,0.19909943517653,0.147668305491575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0.139177036577529,0,0,0,0,0.278566519686754,0,0,0,0.303536169872906,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0.164872869241081,0,0,0,0,0,0,0.151836588486881,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0.233070210174861,0,0,0,0,0,0,0.0490694032920331,0.0948157997607053,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0.225767268373271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,0.278566519686754,0,0,0,0,0,0,0.284302532877151,0,0,0,0,0,0,0,0,0,0.162610832612783,0,0,0
"Porphyromonas",0,0,0.19909943517653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0.383958587211629,0.147668305491575,0,0,0,0.225767268373271,0,0,0,0,0,0.330872861783742,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0.296771939850507,0,0,0.164872869241081,0,0,0.284302532877151,0,0,0,0.311234254307485,0,0,0,0,0,0,0,0,0,0.189608153700775,0,0
"Streptococcus",0.114415699995228,0,0,0.303536169872906,0,0.233070210174861,0,0,0,0,0.311234254307485,0,0,0,0.0890258474951433,0.16840624298085,0,0,0,0,0,0,0.199525869838416,0
"Veillonella",0,0,0,0,0,0,0,0,0,0.330872861783742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190779922819267,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0.0890258474951433,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0.16840624298085,0,0,0,0,0,0.172066051489065,0,0,0,0,0,0
"Aspergillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199422318481545,0,0,0,0,0,0
"Candida",0,0,0,0,0.151836588486881,0,0,0,0,0,0,0,0,0.190779922819267,0,0.172066051489065,0.199422318481545,0,0,0,0.165444103959381,0.274431723141298,0.466961310765213,0
"Cryptococcus",0,0,0,0,0,0.0490694032920331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium",0,0,0,0,0,0.0948157997607053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0,0,0.162610832612783,0,0,0,0,0,0,0,0,0,0.165444103959381,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0,0,0,0,0.189608153700775,0,0,0,0,0,0,0.274431723141298,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0.199525869838416,0,0,0,0,0,0.466961310765213,0,0,0,0,0,0.0531568448113751
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531568448113751,0
