"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,-0.0428099006168142,0.10600863785307,-0.0287942341174105,-0.0735624164128025,-0.116762717105812,0.0406100073293034,0.0478627654553833,0.0925606987814127,0.0280380705034468,-0.00526027934927275,-0.0511237726546636,-0.0133409733836214,0.0553900573014707,-0.0216363658352761,-0.033945171669727,-0.0210914319823772,-0.00289200598504925,-0.0827337262472283,-0.0490855699565511,-0.0611092191339384,-0.0686796488610019,0.166765471082056,-0.0519691706778528
"Actinomyces",-0.0428099006168142,1,0.230051609213436,0.0755651146736371,0.200952973399043,-0.365859645800947,0.670449103473363,-0.0176881050805151,0.0996820419260403,0.654087205687427,0.170766192046069,-0.17095126215898,0.466335308676272,0.0490469973411436,-0.0952371598070481,0.0118538391581409,0.0675253980550334,0.03218528353526,-0.153426006033325,-0.10770947873299,0.30898756408464,-0.063811119257131,-0.208555026410233,-0.0298915127071371
"Fusobacterium",0.10600863785307,0.230051609213436,1,0.172557460391314,-0.0512573997786617,-0.286964432433801,0.359916528233274,0.305309599803956,0.379611959450079,0.497661493952818,-0.0149593957825799,-0.078661264866987,0.217110138015633,0.187237991289476,-0.0705268979412057,-0.0989062911090572,0.120967599037588,0.193068410795208,-0.232452076431972,-0.135020010374942,-0.0153950362201418,-0.0924226587987337,0.00375943276026242,-0.11996220572103
"Gemella",-0.0287942341174105,0.0755651146736371,0.172557460391314,1,-0.0741958220662628,-0.265522689794805,0.238089242443414,0.0521855055009135,0.118406301898272,0.174936273000166,0.0684052091971635,-0.119618426364172,0.0291277810407841,0.015694210416915,0.0370441040789568,-0.0581762186322438,-0.0221039512610773,-0.0307867765807054,-0.0800010620648249,-0.0813726164894837,0.0561591112541984,-0.0628443903059873,0.0301472539474141,0.0774574098026119
"Granulicatella",-0.0735624164128025,0.200952973399043,-0.0512573997786617,-0.0741958220662628,1,-0.0560141535984284,-0.0986096331341467,-0.0653990648367894,-0.0381086979499976,0.017400215830942,0.0839421024890758,-0.170424766334485,0.0561026910640735,-0.0943609273725339,0.0756569016619527,0.12457487207084,-0.0667115011246873,0.157804947374189,0.166448424435147,0.296153809928607,-0.0125976334654826,-0.0471343242460006,-0.161112276202099,-0.0551973553838602
"Haemophilus",-0.116762717105812,-0.365859645800947,-0.286964432433801,-0.265522689794805,-0.0560141535984284,1,-0.325527165230248,-0.146743296634271,-0.284950508418229,-0.35083692292731,-0.307155902324051,0.0921958581957494,-0.383972717670313,-0.149865948148043,-0.0460909698492193,-0.0147582915346128,0.129586913374474,0.0599375845158279,0.24088751814538,0.0537068184279467,-0.0829771259618386,0.0138980443414145,-0.275512330916591,-0.0742397494512946
"Leptotrichia",0.0406100073293034,0.670449103473363,0.359916528233274,0.238089242443414,-0.0986096331341467,-0.325527165230248,1,0.239654235343238,0.368655919518796,0.681649512999102,-0.0269115905671881,0.0265756523863747,0.264766408375232,0.0561546771019953,-0.0753125485069016,0.000878752479574404,0.0198137449680347,-0.0931028929532899,-0.100473986714869,-0.101171142742223,0.379364612172251,-0.010341221561021,-0.126989799954031,-0.103004975391495
"Neisseria",0.0478627654553833,-0.0176881050805151,0.305309599803956,0.0521855055009135,-0.0653990648367894,-0.146743296634271,0.239654235343238,1,0.285473625427768,0.0448656149679195,-0.0809828930360142,-0.0871875773408969,0.0232791693750074,-0.0371813805720973,-0.0567535530029176,0.0607745334065325,-0.0399883296674357,0.0649935757354832,-0.148321644969312,-0.00181495024472647,-0.0526660220857439,-0.0680677136310729,-0.0864651397637063,0.141574262139078
"Porphyromonas",0.0925606987814127,0.0996820419260403,0.379611959450079,0.118406301898272,-0.0381086979499976,-0.284950508418229,0.368655919518796,0.285473625427768,1,0.402179259790266,-0.0778791917924093,0.095714064487383,0.209589184920564,0.116509163786152,0.216644638094208,-0.101156689990865,-0.0498543816997174,0.172481101239382,-0.0948101475860353,-0.0699914538241713,-0.0542319360678651,-0.06411346111817,-0.180063460308959,0.0699124858686715
"Prevotella",0.0280380705034468,0.654087205687427,0.497661493952818,0.174936273000166,0.017400215830942,-0.35083692292731,0.681649512999102,0.0448656149679195,0.402179259790266,1,-0.0888851649527261,-0.0709543013833047,0.522897406268504,0.297903633376014,-0.0865705254702825,-0.118387707171505,0.000718479725262983,0.104886286162789,-0.234531172686668,-0.151898866884293,0.234130539316768,-0.178026413276236,-0.172347815901349,-0.0320699166003128
