"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,0.0907591221120721,0.213050652726756,0.343260326291757,0.10142294571722,0.0526737088603793,0.278299244746695,0.442054237074153,0.260660012545696,0.0773681541018691,0.245345125401021,0.00946274107952629,-0.0432309755055193,0.155443183011908,-0.0148350915843964,0.0192773340158898,0.128858373720382,-0.151525209824883,-0.0780206875223175,0.0791759697423339,0.00258923445642399,0.100548006460079,-0.0395116083145135,0.133774955178661
"Actinomyces",0.0907591221120721,1,0.447455066208821,0.156766475962096,0.333532298106012,-0.0278439495297336,0.572552600686588,0.29413063470927,0.327151893444805,0.73027404472038,0.595896176228242,0.380475214058883,0.695843725059856,-0.103428942785513,-0.129845138716452,-0.0982139971991525,0.116476450612802,-0.0530079618438507,0.0253908435172932,0.0110954434175646,0.142436363054583,0.0961260269220977,-0.173184325700151,-0.0429058878392342
"Fusobacterium",0.213050652726756,0.447455066208821,1,0.220380811002162,0.226081146072795,0.163219187808692,0.536095135423295,0.528201081979246,0.712644518297644,0.512301608816149,0.300144654916838,0.125125400378206,0.371778286327642,-0.00663343586681443,-0.097278733281701,-0.105593331569239,0.140965971909102,-0.162500228136145,-0.196515974070639,0.0367233564243042,0.116030304234247,0.141320045216289,0.00979269547168807,-0.113960422964481
"Gemella",0.343260326291757,0.156766475962096,0.220380811002162,1,0.279058860521946,0.0207793367056506,0.271554032458009,0.315688142908172,0.311866416314644,0.0453033795251473,0.192725162283272,0.110928103658179,0.00748566851495228,0.0688533776524818,-0.0309815359867028,-0.0807690176257597,0.1060827323704,-0.00217049012014462,-0.0274799810636778,0.0105120131805986,0.00176205360719841,0.0479230236340421,-0.00198099918755822,-0.125528521760449
"Granulicatella",0.10142294571722,0.333532298106012,0.226081146072795,0.279058860521946,1,0.126579328445864,0.28868956213055,0.358253455986381,0.22804677116525,0.287707083287722,0.335856224121016,0.197011503542175,0.247857143802831,-0.118306550446401,0.0325404271076188,-0.175045558961449,0.0892785708885839,0.0219335023740244,-0.0957929594109824,0.0348704557879869,-0.0134239140124069,0.150709911463898,-0.169894534717176,-0.0840997799302552
"Haemophilus",0.0526737088603793,-0.0278439495297336,0.163219187808692,0.0207793367056506,0.126579328445864,1,0.0767357424196581,0.324225122826811,0.197968241944036,-0.145800624274865,0.00732846527033858,0.0358332561448414,-0.0945434602531659,-0.276038855953298,0.335631679689114,-0.356970625942168,0.100561468862987,-0.217700874499904,0.205377339502753,0.28668724217098,0.0256359050608988,0.185920373554954,-0.110468149638955,-0.17098315096108
"Leptotrichia",0.278299244746695,0.572552600686588,0.536095135423295,0.271554032458009,0.28868956213055,0.0767357424196581,1,0.521475380062031,0.374194865989516,0.568566264286441,0.352798762173849,0.0897508372662946,0.539474679636401,-0.104130644482639,-0.197542015958623,-0.0458833308159219,0.142416458979927,-0.186893331116059,-0.0921827164555213,-0.0129157415214823,0.105915999963771,0.0596688786649295,0.0336091986084092,-0.087149419620574
"Neisseria",0.442054237074153,0.29413063470927,0.528201081979246,0.315688142908172,0.358253455986381,0.324225122826811,0.521475380062031,1,0.540065605991788,0.251811462986146,0.374069768823457,0.078269418126854,0.127060678017431,-0.133532631601928,0.0519449696525699,-0.0451941272666559,0.241159920471171,-0.24343909286837,-0.0794200781848053,0.0445881781770573,0.061390456949551,0.213129845229946,-0.0434553999685437,-0.0655105016291326
"Porphyromonas",0.260660012545696,0.327151893444805,0.712644518297644,0.311866416314644,0.22804677116525,0.197968241944036,0.374194865989516,0.540065605991788,1,0.314546610405123,0.263474838593719,0.12152905074741,0.161160166437644,-0.0151006394514675,0.0487833231733437,-0.0516121663964183,0.12969020679404,-0.14482023987952,-0.121063665712955,-0.02301961875153,0.0862808572865422,0.201272233279659,-0.030164752672501,-0.108636487006584
"Prevotella",0.0773681541018691,0.73027404472038,0.512301608816149,0.0453033795251473,0.287707083287722,-0.145800624274865,0.568566264286441,0.251811462986146,0.314546610405123,1,0.504502684752873,0.27118428501583,0.761146255140341,-0.10515963180312,-0.250404038820255,-0.170902376553155,0.11807275697476,-0.0129503507544136,-0.153710835430137,-0.16417519771976,-0.0506893340748613,0.038670999508048,-0.14445896127974,0.00272109548440574
