"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,-0.00704395986156939,0.147033665861098,-0.00361676012659006,2.82725074912045,-0.0247040098647848,-0.742536413082693,0.182913227157731,0.022138810629487,0,0.115390824147699,0,0,0,0.06889034989992,0,0,0,0.00478245031790287,0,-0.00283726967942191,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,-1.0550421804581,-0.871903962799067,-0.68319293992632,0,0,0,-0.234612593852025,-5.22435073010625,-0.17225200860076,-0.310629321641377,-0.0904029371758866,-0.747657246443596,0,0,0,0.182575380091175,0,0,0,0,0,-0.218750433161689,-0.0560439599798689
"Leptotrichia",0,0.0655379883087485,0,0.0117156769544434,-0.015452599234264,0,0,0.0180623194932732,0.107439495513272,0.036049740520675,0,0.000415430197735485,-0.00395737213431149,0,0,0,0,-0.000247531334435446,0.00418169284572918,0,0.00461077164939197,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,-0.153744928643022,-0.964437559421654,0,-0.470057701410687,-0.0922624615957314,0,0,0,-0.0658474225928948,-0.511240606095287,0,-0.249747270162883,0,0,-0.521104753228292,0,0,0.577188720013828,0,0,1.4002288338703,-0.150342528334701,-0.3184188552554
"Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0,1.44620820328262,0,0,-0.0760738327361303,0,0,0,0,0,0,0,0,0,0,0,0,-0.325345214082377,-0.561013116250114,-0.812835161224511,-2.39047644844254,-0.416811592034355,-0.333206828545594
"Cryptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",1.04432689180404,-2.16296892619597,0,0,0,-0.415687924007725,0,-0.18006342417199,-4.47620739275948,0,-0.0716103691122872,-0.184623207632666,0,0,0,0,0,-0.511394280500525,-0.939450079719662,-1.39340252030558,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
