"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,-0.107853101147709,-0.0102314240391701,0.183007803272189,-0.0347104329730358,-0.0877307560244808,-0.0685234551809072,-0.0103836365898797,0.00991464554989937,-0.0720824913381817,-0.0404084544271916,-0.0606368142505812,-0.0914232486697422,-0.0113993273530117,-0.0412205993903101,-0.100670465400533,0.0121911891798347,-0.032427422021762,-0.0291217902206879,0.119747983700243,-0.0623882347068195,-0.0416043402651013,-0.181423492703275,0.468129657417616
"Actinomyces",-0.107853101147709,1,0.0919420552854121,0.0285871986721428,0.0778902903762005,-0.195338171680836,0.266281756432446,0.00240298782429562,0.102590687337819,0.503175648189554,0.40544760094172,0.190141975056051,0.37162986389632,-0.106917110834374,-0.126618182794829,-0.167516430407085,0.0580296041952436,-0.0721193018358181,-0.0737331103380948,-0.0376828472257581,0.222119221740375,0.0962028581627598,-0.249477056476712,0.0852103131049465
"Fusobacterium",-0.0102314240391701,0.0919420552854121,1,0.150364177321158,-0.0267219352774857,-0.142104040754549,0.0601331508486609,0.0902623120465036,0.656579964654794,0.0392641254732153,-0.0372003288662745,-0.0522349793465813,0.0163680861326423,-0.0671424848684069,-0.0766185803831325,-0.0426554758717396,-0.0151755616750182,-0.134462722570464,-0.0485682091718891,-0.0576722204011205,0.0680780428809591,0.132204090307391,0.0591081201959194,-0.0683736431311062
"Gemella",0.183007803272189,0.0285871986721428,0.150364177321158,1,0.257962807811828,-0.176678040432433,0.0721848696915269,0.16219696740166,0.14455944273251,-0.0443947020569786,0.12795477401079,0.0323942733252781,-0.059929735456059,-0.0467628429894479,0.0421296395938849,-0.147690830308537,0.0538327319109765,-0.0488802381942657,-0.0631493020996963,0.0937912502802089,0.0496639467396326,0.0103525229657925,-0.0279846128776748,-0.111417194047847
"Granulicatella",-0.0347104329730358,0.0778902903762005,-0.0267219352774857,0.257962807811828,1,-0.0830887777542288,0.0224787768325075,0.210647717730153,0.0263474441657431,0.0669781572836966,0.200098843770279,0.104138604976528,-0.00973196434636921,-0.10318221658929,-0.025561138229571,-0.153561430639854,-0.0153690040976234,0.0761639351962323,-0.0638460104655279,-0.000371948951030058,0.0130614277540383,-0.0338569000497014,-0.0942900109346901,-0.0891165663494589
"Haemophilus",-0.0877307560244808,-0.195338171680836,-0.142104040754549,-0.176678040432433,-0.0830887777542288,1,-0.108251646251304,-0.143585266012036,-0.119771985811177,-0.255977480030457,-0.194732739495489,-0.197335544390948,-0.162523245510392,-0.12592887503498,0.06998425343191,-0.237284159666578,0.00812173777740091,-0.0653505565430153,0.219975046679721,0.136333619801814,-0.0355555375253962,0.0381639073818189,-0.0718685731152213,-0.117281871644712
"Leptotrichia",-0.0685234551809072,0.266281756432446,0.0601331508486609,0.0721848696915269,0.0224787768325075,-0.108251646251304,1,0.0969503466696586,-0.0553133360935889,0.258531589062053,0.074203275519981,-0.0226694136888913,0.496578096540784,-0.122080042377768,-0.111049300539393,-0.0696678848099199,-0.00116241094160059,-0.187269073085601,-0.0644129015193897,-0.061186210186049,0.164275583609443,0.395043474960421,-0.0334249713912773,-0.0616872708951648
"Neisseria",-0.0103836365898797,0.00240298782429562,0.0902623120465036,0.16219696740166,0.210647717730153,-0.143585266012036,0.0969503466696586,1,0.107502062971809,0.0177483152329912,0.16650660823746,0.009066160209112,-0.128441466963069,-0.104801611740211,-0.0780930233850005,-0.163902651752492,0.3258689016777,-0.206660799504156,-0.0582386609858258,-0.0733627411150287,0.121839192414551,0.123953366901996,-0.128797183413136,-0.0445250906200025
"Porphyromonas",0.00991464554989937,0.102590687337819,0.656579964654794,0.14455944273251,0.0263474441657431,-0.119771985811177,-0.0553133360935889,0.107502062971809,1,-0.0263423687979567,-0.0149225648425821,-0.0661825383451121,-0.0464669851140525,-0.0674602414969836,0.0726628399630121,-0.106677972311043,0.0445752205804492,0.0559011016053859,-0.0393745560389547,-0.0665184945328473,-0.00503605449145498,0.0619077528430574,-0.135125937057649,-0.066765319651347
"Prevotella",-0.0720824913381817,0.503175648189554,0.0392641254732153,-0.0443947020569786,0.0669781572836966,-0.255977480030457,0.258531589062053,0.0177483152329912,-0.0263423687979567,1,0.491121694095211,0.144930191155728,0.443969444398659,-0.09646347630885,-0.13071125435215,-0.192446380031554,0.0220454358291079,0.0747246765852552,-0.0758159197083049,-0.0601892139022234,-0.0185328749703547,0.110583485280082,-0.245191828564345,-0.0323757347740648
