"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,0.208604867602777,0.559823162270123,0.300572419986869,-0.0328485640509708,-0.301463085589101,0.47068792403652,0.45067166579663,0.477755555491973,0.382133268721428,0.0201437241502569,-0.0624353694418604,0.342367803038415,0.405796318311178,0.0107138920644694,0.282075135304561,0.257542470273332,0.205679810744417,-0.320828983433751,-0.230541173033024,-0.1864399240623,-0.0429484922999376,0.101380777866488,-0.128446935773171
"Actinomyces",0.208604867602777,1,0.636780945421339,0.493115822331557,0.418507484769355,-0.560413652647111,0.65366994972636,0.446265869066783,0.55578484265582,0.753311306325737,0.393818637190199,-0.296646543198099,0.785247886540332,0.41735350148233,0.263742764158105,0.225133457033937,0.492733528903302,0.187653450385568,-0.429241178000588,-0.24247409294486,-0.225632745078183,-0.189001509861918,-0.113930660180471,0.0461140495586512
"Fusobacterium",0.559823162270123,0.636780945421339,1,0.516025289092467,0.138157306426172,-0.412503306500617,0.883049844773785,0.6621280032264,0.741089670828604,0.792576161921775,0.143363329101536,-0.20056515044504,0.764655309078718,0.463444592657106,0.207617704287438,0.166147043288459,0.612886509146313,0.232925742412413,-0.447129501395688,-0.300591908639435,-0.271866722990099,-0.107032276357236,-0.0510458369966906,0.0336687273830048
"Gemella",0.300572419986869,0.493115822331557,0.516025289092467,1,0.143430351275461,-0.434335049982764,0.618718166559587,0.467660054526652,0.505768834387109,0.619261294337929,0.196183371846395,-0.147346717289965,0.531057494718204,0.51309570735702,0.174657724338402,0.142992976711436,0.335697400429801,0.0989310895258161,-0.303649466296568,-0.235545125602627,-0.0636146160185673,-0.186620489636663,-0.0820677016427992,-0.053523719536979
"Granulicatella",-0.0328485640509708,0.418507484769355,0.138157306426172,0.143430351275461,1,-0.244981806411802,0.118667004514406,0.158378849098942,0.119175954162168,0.247577704963234,0.206354072790296,-0.203193316141208,0.25307808335198,-0.0378960748004847,0.186557937056411,0.111629865503611,0.0793937407903075,0.0852068851935056,-0.0270174242701157,0.0441193350506778,0.0492239320410533,-0.0930478607246138,-0.14016117443957,0.0143796958581411
"Haemophilus",-0.301463085589101,-0.560413652647111,-0.412503306500617,-0.434335049982764,-0.244981806411802,1,-0.438557230448958,-0.373020722253812,-0.396127154645102,-0.593718875880897,-0.357050749352414,0.121726855787496,-0.644522513784045,-0.322229505571632,-0.252819372172728,-0.369707689135123,-0.33766600686744,0.0686582671720715,0.463714344543891,0.368915560182416,0.261800931247038,0.0581876930395517,-0.243360304390186,-0.0952236236961589
"Leptotrichia",0.47068792403652,0.65366994972636,0.883049844773785,0.618718166559587,0.118667004514406,-0.438557230448958,1,0.719424291627,0.742391227115243,0.796173929458974,0.0932013666552705,-0.186167077291232,0.734339314336181,0.406968116455427,0.161470517297275,0.234844967978751,0.566883918315185,0.181232327491764,-0.442964987865281,-0.286260977602917,-0.261527637502861,-0.205599248355038,-0.0544688969574516,0.0454100269929444
"Neisseria",0.45067166579663,0.446265869066783,0.6621280032264,0.467660054526652,0.158378849098942,-0.373020722253812,0.719424291627,1,0.593245487775878,0.560111605004783,0.163424685975725,-0.283201079222853,0.570033607871073,0.325548635346919,0.121711097886766,0.356630605588569,0.415010050410262,0.0256558363692894,-0.443101643523603,-0.215670703587018,-0.275384324606693,-0.102040523848354,0.0894035179507459,0.125882580864727
"Porphyromonas",0.477755555491973,0.55578484265582,0.741089670828604,0.505768834387109,0.119175954162168,-0.396127154645102,0.742391227115243,0.593245487775878,1,0.673534557459773,0.183587220688101,-0.174158300508129,0.629299914414383,0.434189638615529,0.241560156222298,0.204226117339743,0.495537404100829,0.212107882156987,-0.380523554767347,-0.159075532912136,-0.295419231086467,-0.148107348387,-0.110807166521881,0.168300471879918
"Prevotella",0.382133268721428,0.753311306325737,0.792576161921775,0.619261294337929,0.247577704963234,-0.593718875880897,0.796173929458974,0.560111605004783,0.673534557459773,1,0.153957170079524,-0.178003689417895,0.874854754425375,0.499312981305888,0.279669615901628,0.194986055476251,0.609499526566481,0.198022127373424,-0.508657763059021,-0.298960089686691,-0.289764512255474,-0.250743156787105,-0.0652098245252126,0.0942200069160281
"Rothia",0.0201437241502569,0.393818637190199,0.143363329101536,0.196183371846395,0.206354072790296,-0.357050749352414,0.0932013666552705,0.163424685975725,0.183587220688101,0.153957170079524,1,-0.362676328069093,0.254424555514431,0.0837893206675581,0.16408641848582,-0.0360350226186081,0.0298428833006336,0.105802385075892,-0.0645038784070613,-0.130354772244914,-0.32163005120415,0.0712412785576032,-0.114035017721084,0.0374926997118418
