"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,0.0752743908483456,0.258062551267403,0.312193461682473,0.190089517247781,0.00990184756767531,0.0923331641928222,0.121658957690332,0.00668681525969805,0.0368156587289808,0.0671015307448487,0.002205584947651,0.0793467317798978,0.356954667002675,0.201540556096152,0.0962596994166652,0.0227561242935076,0.0164572072879189,0.280327472721617,0.427026078771487,0.011001797775317,0.117287295127271,0.504298089953692
"Haemophilus",0.0752743908483456,1,0.256291078308878,0.17374482623754,0.0710429814496286,0.00626104297713193,0.0561851855171291,0.0641908306210954,0.00564568147288613,0.047236352911504,0.0550774719932386,0.101245790390912,0.0323027769413278,0.437040716607322,0.337841964341703,0.0730306461838489,0.015670649834411,0.00946623124425006,0.0528349404413454,0.0580397177572268,0.000186281020147838,0.370891673845841,0.0417347023756424
"Streptococcus",0.258062551267403,0.256291078308878,1,0.543431928394198,0.420279980047515,0.0482217292302582,0.276470625725789,0.338216451385681,0.199086686739085,0.168569843062463,0.133669985790845,0.0771648610410918,0.0945594446961255,0.3019746365875,0.556152196083067,0.271504975526937,0.0553883248349821,0.0194548097456607,0.276472364866632,0.275811333230361,0.0108111811534732,0.169096174404745,0.105925642181906
"Veillonella",0.312193461682473,0.17374482623754,0.543431928394198,1,0.393607884499107,0.0220995702516211,0.418021741806697,0.599614006306319,0.0386360741312541,0.175094726202054,0.258144806084066,0.0200594152071912,0.186248652298942,0.181590378419387,0.449056168220997,0.3111083493801,0.0820765701335899,0.0398418257696193,0.129468614734946,0.256933486713021,0.02224211803454,0.0703284927972938,0.114216702572407
"Neisseria",0.190089517247781,0.0710429814496286,0.420279980047515,0.393607884499107,1,0.0295760343779103,0.29416671423844,0.461232718951454,0.6057272539542,0.193592731283943,0.282639535242638,0.00294728303093827,0.290656744681194,0.120277597059687,0.161694194519659,0.245099836700779,0.0764783344438902,0.0640707148992686,0.0892966425179417,0.0995064014420224,0.000153776837638731,0.0225474614002329,0.00246885025621757
"Staphylococcus",0.00990184756767531,0.00626104297713193,0.0482217292302582,0.0220995702516211,0.0295760343779103,1,0.0484784719971231,0.0328473452655624,0.0141001295627886,0.0168336080557642,0.0267718369833647,0.00118524406002074,0.0507404753678588,0.0804495991840383,0.0322990345984207,0.249427599252149,0.0700057005194874,0.00953422157649331,0.00512875488832376,0.00532650908287879,0,0.345707589393554,0.000286579333484194
"Rothia",0.0923331641928222,0.0561851855171291,0.276470625725789,0.418021741806697,0.29416671423844,0.0484784719971231,1,0.464461091809251,0.0225903496497705,0.32556819007267,0.431358023746296,0.0239058635458113,0.363736089879754,0.0573927126867038,0.223068666198333,0.175954351952765,0.184912951024294,0.107674046133585,0.135234251587907,0.0528387724961237,0.0108896085321675,0.0983548379697006,0.0160495089436539
"Granulicatella",0.121658957690332,0.0641908306210954,0.338216451385681,0.599614006306319,0.461232718951454,0.0328473452655624,0.464461091809251,1,0.0866855469117835,0.254450712161132,0.363608662358173,0.0248201878194696,0.312737809038109,0.0980361723312744,0.273077873537668,0.433057277082637,0.135483663418735,0.0797067485869088,0.070857784941728,0.105421822326419,0.00243463773783792,0.0413882624817237,0.0138110478434055
"Stenotrophomonas",0.00668681525969805,0.00564568147288613,0.199086686739085,0.0386360741312541,0.6057272539542,0.0141001295627886,0.0225903496497705,0.0866855469117835,1,0.00631170563085859,0.0747318818159406,0.00137518314608565,0.0342098079491384,0.0638778312331475,0.0122413468677911,0.0640499073522568,0.02258362545952,0.0139184260052684,0.00547042126446506,0.00617742430685742,0.000146581122946188,0.00435277092580344,0.000421044021458483
"Gemella",0.0368156587289808,0.047236352911504,0.168569843062463,0.175094726202054,0.193592731283943,0.0168336080557642,0.32556819007267,0.254450712161132,0.00631170563085859,1,0.239964522960433,0.363799564228744,0.244573101324371,0.0460235416197672,0.101475917011253,0.326241860258947,0.146936249770767,0.143052564311922,0.183201618967714,0.0189887008417704,0,0.0184099154842156,0.155767124479175
