"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,0.026373702310759,0.211020630882386,0.263769515748367,0.0519845170189229,0.0216731197548438,0.0478171908760416,0.0467496958655493,0.0508884944832629,0.0330636242284125,0.0990691443866889,0.0797413405064529,0.0600457992267437,0.286572135398948,0.414800056003625,0.229691976996707,0.304809144083817,0.00647155260782628,0.00188068481940651,0.155735400648193,0,0.365527981743965,0.31714202171314
"Haemophilus",0.026373702310759,1,0.205969854403808,0.0800186909487339,0.0548837939071802,0.00297950163752037,0.039221589898787,0.0499656172245314,0.00211853492875314,0.0554558685897361,0.0641272832634885,0.000597079080219887,0.0170506150680054,0.369612291075018,0.126859336637748,0.170604671963335,0.076898380715806,0.0146807921975248,0.156384205970494,0.0192071206610157,0,0.288870388763431,0.278682833421284
"Streptococcus",0.211020630882386,0.205969854403808,1,0.340607097900311,0.344954057685951,0.154948005362819,0.274816467523027,0.18956226409065,0.042510874717625,0.174570483890059,0.161341004158218,0.0273735833577475,0.0840709389002652,0.415525056242708,0.323602570046505,0.568824600499707,0.124934680068569,0.0243718038190991,0.147599632755552,0.126637934790715,0,0.0305995037948098,0.228458475087843
"Veillonella",0.263769515748367,0.0800186909487339,0.340607097900311,1,0.472709803910645,0.032943346860217,0.188828162771306,0.224841747618419,0.0297490135700109,0.186341094105716,0.400233234801223,0.00692646483241022,0.228647529532272,0.155012813534744,0.298390833966442,0.309111340380779,0.307139783874926,0.0700368380213403,0.0246794216600167,0.210742374450287,0,0.210062510266702,0.160868579031955
"Neisseria",0.0519845170189229,0.0548837939071802,0.344954057685951,0.472709803910645,1,0.0279087357916332,0.30499956897957,0.200246036052431,0.029055838781233,0.174137306427557,0.297115494238386,0.01835284094162,0.230913147355604,0.103068848433341,0.287109103757135,0.252754135950107,0.0642434346692284,0.0781551491160901,0.00957909926917544,0.348508938853684,0,0.000551152174058323,0.0358205832304725
"Staphylococcus",0.0216731197548438,0.00297950163752037,0.154948005362819,0.032943346860217,0.0279087357916332,1,0.357851420636326,0.103410334641723,0.62249996330958,0.370803738042429,0.0418027355496694,0.0254203232218266,0.00855330647049934,0.0957187659088644,0.16339425035905,0.210431906288818,0.0613341910326503,0.00952388457895736,0.00406586386419638,0.000546042135795344,0,0.000242144997259164,0.000373985756219164
"Rothia",0.0478171908760416,0.039221589898787,0.274816467523027,0.188828162771306,0.30499956897957,0.357851420636326,1,0.493020944703064,0.0150506273506197,0.643819635570537,0.171075688393975,0.0027742060674959,0.12750993926652,0.0845327586067832,0.234660995207891,0.41287795105714,0.196044827525685,0.0550686965424153,0.000337934076937829,0.00575409328833232,0,0.00671503136080975,0.0183980200645789
"Granulicatella",0.0467496958655493,0.0499656172245314,0.18956226409065,0.224841747618419,0.200246036052431,0.103410334641723,0.493020944703064,1,0.0164303099678546,0.322550315762348,0.285998805667751,0.00292747261515736,0.256401963379981,0.0563796777328393,0.173599420038881,0.238646852934808,0.21968340095989,0.109692223596928,0.0211832695266664,0.0503767306450636,0,0.00899182219268979,0.0128767604557658
"Stenotrophomonas",0.0508884944832629,0.00211853492875314,0.042510874717625,0.0297490135700109,0.029055838781233,0.62249996330958,0.0150506273506197,0.0164303099678546,1,0.0119702720327927,0.0457520681868365,0.269707114452347,0.0078214090596419,0.079368798496128,0.144100740095387,0.00483125727424971,0.00727615892099209,0.0089105416727534,0.00443756122447636,0.000251966432729067,0,0.0001786738799886,0.000317071191912044
"Gemella",0.0330636242284125,0.0554558685897361,0.174570483890059,0.186341094105716,0.174137306427557,0.370803738042429,0.643819635570537,0.322550315762348,0.0119702720327927,1,0.248348907854573,0.00356645003856493,0.120824686954747,0.0516204948680509,0.180167584458868,0.26821087491413,0.177199410688997,0.0599268797379675,0.0678365256191419,0.00167653951511082,0,0.000398466330794434,0.00816317808603695
