"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,0.0175799909468695,0.186327112427295,0.147863684659956,0.0523396435935282,0.00201516604727547,0.0540094142786031,0.0294172635596626,0.0469533094336521,0.0330800931432947,0.0356192055812871,0.000419893125570447,0.0383285011508049,0.459353477049391,0.10018701123285,0.22582633896252,0.0389514159224402,0.0157194445953179,0.0141915674817328,0.238583165827501,0.00319254125860191,0.519043025230267,0.165395393136376
"Haemophilus",0.0175799909468695,1,0.237823312958629,0.202948309006279,0.116682992763165,0.00277294991128241,0.0865855232731465,0.143042881941219,0.00543899324572072,0.069749256454138,0.0948309735767958,0.00050397587416795,0.051523774200449,0.420089825946901,0.154164681073311,0.277283984116038,0.0551006971295268,0.0154868300272589,0.00715075751117522,0.12380476964166,0.329234011094397,0.361606689892339,0.297264996966284
"Streptococcus",0.186327112427295,0.237823312958629,1,0.519548022613513,0.178801124522807,0.0273386923820532,0.220730598966556,0.25888845110602,0.092314797956575,0.0971967300906081,0.131634108473619,0.000388671746497926,0.0765108790421167,0.443091109465945,0.316321295491881,0.492140069528183,0.0999051868397685,0.352569827336925,0.277079582876997,0.321062313922943,0.100413441518333,0.304146384838456,0.230104156482408
"Veillonella",0.147863684659956,0.202948309006279,0.519548022613513,1,0.410262328657942,0.00356439864068103,0.220352337714967,0.418618463084321,0.195041464380416,0.172915169416004,0.315625043218628,0.00103884705624724,0.191213385101229,0.228419751438862,0.299489530956561,0.288484793716051,0.141320297889554,0.354523776290477,0.0850681103401547,0.255254529429112,0.0182575877639471,0.17459883062406,0.0911515505937813
"Neisseria",0.0523396435935282,0.116682992763165,0.178801124522807,0.410262328657942,1,0.00587548772125179,0.316339575418122,0.57166349599069,0.0922586357508404,0.32695743304357,0.381811835756495,0.00295023488059776,0.364312322589812,0.0904170334538998,0.231723766552002,0.157616930634132,0.180417626104184,0.0464409135349434,0.0571936713008455,0.187045639747229,0.0338235106581714,0.104440652755,0.0232788023909063
"Staphylococcus",0.00201516604727547,0.00277294991128241,0.0273386923820532,0.00356439864068103,0.00587548772125179,1,0.0252276120143894,0.00579857372999393,0.00479022353506919,0.0191254313287853,0.00712644222026859,0.00115194018173281,0.00769930023763632,0.00902978662758869,0.370078257920593,0.00703647835820898,0.237237596150908,0.00196246323231353,0.00197042411259862,0.00087091106538284,0.000257704729818786,0.000527915915345067,0.275786940176376
"Rothia",0.0540094142786031,0.0865855232731465,0.220730598966556,0.220352337714967,0.316339575418122,0.0252276120143894,1,0.403367408408177,0.111968809245555,0.516887394390736,0.250667694276917,0.00312871945384152,0.220225422392953,0.0907341810298189,0.144170862996006,0.403038373304217,0.280411096350752,0.0532217985845855,0.0662223465431702,0.0513331893398726,0.0146062081432203,0.0545116457819396,0.112117769059872
"Granulicatella",0.0294172635596626,0.143042881941219,0.25888845110602,0.418618463084321,0.57166349599069,0.00579857372999393,0.403367408408177,1,0.0310335842860501,0.381970001804823,0.299053381370581,0.00261104253651911,0.262606205258574,0.0770204703032735,0.271418790887804,0.266883594241953,0.202801855225263,0.0426631015737757,0.142515034983698,0.164054992569189,0.039771817207142,0.0903150533311677,0.02997179956406
"Stenotrophomonas",0.0469533094336521,0.00543899324572072,0.092314797956575,0.195041464380416,0.0922586357508404,0.00479022353506919,0.111968809245555,0.0310335842860501,1,0.0657447025431452,0.303383458175849,0.00665172558316263,0.136792449659471,0.0363999956155809,0.0349088649994977,0.0799626338758277,0.0383456669526471,0.00265085555427813,0.196759137007123,0.0883499975934494,0,0.0215862296713097,0.0111500842602655
"Gemella",0.0330800931432947,0.069749256454138,0.0971967300906081,0.172915169416004,0.32695743304357,0.0191254313287853,0.516887394390736,0.381970001804823,0.0657447025431452,1,0.391740231011992,0.00758158772307216,0.450672115831486,0.0370082469567632,0.0926612206643003,0.171514683235158,0.32129509858431,0.0565235373630691,0.0465774544294206,0.0245093355391768,0.0223841575523102,0.0154331113203207,0.0406301458268878
