"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,1.35978051846444,1.74462555361534,0,0.0353172823592358,0,0,0,0,0,0.0128309606035847,0,0,0,0,0,-0.046558553990348,0
"Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",-0.0401846831174192,0,0,0.0503074984606687,0,0,0.268808025144262,0,0,0,0.531317984117187,0,0,0,0.0481683079760764,0,0,0,0,0.170602532429889,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0.652812806930406,0.966418484130626,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0.0746386244597746,0,0.00820120620953196,0,0,0.124691013628977,0,0.851225629589087,0,0,0,0,0,0.0578964785274519,0,0,-0.0387572899386792,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0.331645575909802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0.00476593776016544,0,0,0,0,0,0,-0.0516292211200934,0.531875275169764,-0.0124982802856233,0.0427413675949063,0,-0.0214284542338964,0,0.00533855556751582,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candida",-0.0479328722584532,0,0,0,0,0,0.29833066404126,0.69098189021642,1.60915224546117,0,-2.5913901345001,1.98421581639459,0,0,-0.572301671893291,0,-1.04123624760585,3.26494623190227,0,0,0,-0.0489960879860599,0
"Saccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curvularia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Debaryomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPV",0,0,0,0,-0.536891241159969,-0.136858978882742,-0.150758433085976,-1.26220790692202,0,-0.797137281500297,0,0,1.37743694981611,-0.326612153249983,-0.628894144979903,0,0,16.6294680347689,-0.226890883143648,0,0,-0.366012409885165,0
