"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,-0.412065399815374,-0.207008308987206,0,-0.546532172368748,-0.127198928974323,-0.034665084342807,-1.17100812652926,0,0,-2.76507257851413,680.685286561781,0,0,0,0,0,0,0,0,0,0.262486272154394,-0.0739506252592313
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,0,0,0,0.286399626145713,0,0,0,0,0,0.943303003579426,0,0.492377843342515,0,0,-0.0471973997651637,-0.188648588087648,0.261668898054155,-0.0518758083964619,0,-0.0233424149895395,0,-0.0151102045686651
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0,0,1.76374688593509,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0.200709846680498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",-0.00658365398758694,0,0,0.048755802039501,0,0,0,0,0.104222143653737,0,0,-44.8349826437589,0.674553028521041,0,0,0,0,0,0.0224191795810023,0.00409675428508746,-0.00945811680851175,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0.0257843627453917,0,0,-0.022885548022626,0,0,0,0.119046991842889,36.46621857059,0,0.000480166081328245,-0.0008882137807861,0,-0.00391787064482673,0.00922918508295162,0,0.00914006511635765,0.00361496183804028,-0.00679571845128742,0
"Candida",0,0,-0.122604758900975,-0.400589128682583,-0.0298591850948304,0,0,0,0,-1.8264567142914,0,-144.600206833222,-0.975448001460769,0,-0.549224940740511,0,-3.41156759469026,0,0,-0.0265493836909997,0,0,0.198028786412273
"Saccharomyces",0,0,-0.22225898953406,0,0,0.289687696135666,0,2.51953415721352,0,0,0,-417.740110175898,0,-0.365193097580209,0,-0.461545753268965,0,0,-0.122685918910338,0,0,0,0.0175194902175697
"Curvularia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptococcus",0.0005560027182595,0,0,0,-0.00793540815725247,0.15019922937157,0,0,0,0,-0.00231683269027974,0,-0.023743640033737,0,0,0.0809978716258034,0,0,0,0,0,0,0
"Debaryomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0.560679680801955,2.40080743622339,0,0,785.502477458482,21.3188250344235,0,0.227948819421323,-0.258188439326443,0,-0.600452737110286,0,0,0,0,-0.154913968999872
"Flu_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_B",0.0886410498905906,0,-0.0105427580424763,0,0,-0.0485016199416768,0,0,0,-1.59591471929755,0,0,-16.9894697271292,0.0821492230738496,0,0,0,0,-0.0423338489201345,-0.0192477767554533,-0.346548443550248,0,-0.362397125517783
"MPV",0,-0.0753687781276776,-0.626556515727484,-0.433070368234452,0,0.0863332027390977,0,0,-0.0627974496659162,2.5123740258244,0,0,0,0.174497319712693,0,0,0,0,-0.0526966588694595,-0.568185968277756,0,-0.699481595811275,0
