"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,0.109641148976094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137542801780855,0.177971502181808,0.388565689718553
"Haemophilus",0.109641148976094,0,0,0,0,0,0,0,0,0,0,0.1529731042017,0,0,0.208046768692151,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0,0,0,0,0.611721130398318,0,0,0.393608424769362,0.32433533331141,0,0,0,0,0,0,0,0
"Veillonella",0,0,0,0,0,0,0.390705525852603,0,0,0,0,0,0.293305831326636,0,0,0,0.366204096222703,0,0,0.24274640112723,0,0,0
"Neisseria",0,0,0,0,0,0,0.384287960936904,0,0.242336932954182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242336932954182,0,0,0,0,0,0,0
"Rothia",0,0,0,0.390705525852603,0.384287960936904,0,0,0,0,0,0.285401012481504,0,0,0,0,0,0,0.271815742447482,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277279071888749,0,0,0,0,0,0
"Stenotrophomonas",0,0,0,0,0.242336932954182,0,0,0,0,0,0,0,0,0.137542801780855,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168230443958894,0,0,0,0.376609873620809,0,0,0,0
"Prevotella",0,0,0.611721130398318,0,0,0,0.285401012481504,0,0,0,0,0,0.324365186676331,0,0,0.294672878935651,0,0,0,0,0,0,0
"Moraxella",0,0.1529731042017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253489506593379,0,0,0,0
"Leptotrichia",0,0,0,0.293305831326636,0,0,0,0,0,0,0.324365186676331,0,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0,0.393608424769362,0,0,0,0,0,0.137542801780855,0,0,0,0,0,0,0,0.381130464809838,0,0,0,0,0,0
"Saccharomyces",0,0.208046768692151,0.32433533331141,0,0,0,0,0,0,0.168230443958894,0,0,0,0,0,0,0,0,0,0,0,0,0
"Curvularia",0,0,0,0,0,0.242336932954182,0,0,0,0,0.294672878935651,0,0,0,0,0,0.373544855470755,0,0.265445322691123,0,0,0,0
"Cryptococcus",0,0,0,0.366204096222703,0,0,0,0.277279071888749,0,0,0,0,0,0.381130464809838,0,0.373544855470755,0,0,0,0,0,0,0.259337220162198
"Debaryomyces",0,0,0,0,0,0,0.271815742447482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0.376609873620809,0,0.253489506593379,0,0,0,0.265445322691123,0,0,0,0,0,0.292299906136546,0.265445322691122
"RV",0,0,0,0.24274640112723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_A",0.137542801780855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_B",0.177971502181808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292299906136546,0,0,0,0
"MPV",0.388565689718553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259337220162198,0,0.265445322691122,0,0,0,0
