"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486588350664947,0,0,0,0,0,0,0,0
"Haemophilus",0,0,0.284388168067669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137542801780855,0,0,0,0
"Streptococcus",0,0.284388168067669,0,0.301101643189597,0,0,0,0,0,0,0,0,0,0,0.190337142360491,0.593407519240354,0,0,0,0,0,0,0
"Veillonella",0,0,0.301101643189597,0,0.373544855470755,0,0,0,0,0,0.181898444850652,0,0.271815742447482,0,0,0,0,0.108473460460602,0,0,0,0.188669915077585,0
"Neisseria",0,0,0,0.373544855470755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275522194524361,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0.141017288103957,0,0,0,0.181378690840171,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0.242336932954182,0,0.376609873620809,0,0,0,0,0,0.478338986644082,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0.242336932954182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stenotrophomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0.242336932954182,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0.141017288103957,0.376609873620809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0.181898444850652,0,0,0,0,0,0,0,0,0,0.212740678452723,0,0,0,0,0.137542801780855,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242336932954182,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0.271815742447482,0,0,0,0,0,0,0,0,0,0,0,0.145346706601263,0,0,0,0,0,0,0
"Candida",0,0,0,0,0,0.181378690840171,0,0,0.242336932954182,0,0.212740678452723,0,0,0,0.514993937303418,0.281579199346895,0,0,0,0,0,0.2383898194347,0
"Saccharomyces",0.486588350664947,0,0.190337142360491,0,0,0,0,0,0,0,0,0.242336932954182,0,0.514993937303418,0,0,0,0,0,0.279493829763577,0,0,0.421764881202297
"Curvularia",0,0,0.593407519240354,0,0,0,0.478338986644082,0,0,0,0,0,0.145346706601263,0.281579199346895,0,0,0,0,0,0.185708109337477,0,0,0
"Cryptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242336932954182,0
"Debaryomyces",0,0,0,0.108473460460602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0.137542801780855,0,0,0,0,0,0,0,0,0.137542801780855,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0.275522194524361,0,0,0,0,0,0,0,0,0,0.279493829763577,0.185708109337477,0,0,0,0,0,0,0
"Flu_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flu_B",0,0,0,0.188669915077585,0,0,0,0,0,0,0,0,0,0.2383898194347,0,0,0.242336932954182,0,0,0,0,0,0
"MPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421764881202297,0,0,0,0,0,0,0,0
