"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",0,0.0962904551728458,0,0,0,0,0,0,0.159738098507571,0,0,0.159738098507571,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0.0962904551728458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111392046366749,0,0.147828178018284
"Streptococcus",0,0,0,0,0,0,0,0.208559649978545,0,0,0,0,0.313580968748761,0,0,0,0,0,0,0,0,0.257971394783208,0
"Veillonella",0,0,0,0,0,0,0,0.227551367710617,0,0,0,0,0.25367343771436,0,0,0,0,0.253129840771716,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0.253129840771716,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142171348941134,0,0.253129840771716,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0.253129840771716,0,0.253129840771716,0,0.253129840771716,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0.208559649978545,0.227551367710617,0,0,0.253129840771716,0,0,0.253129840771716,0.278318792260931,0.265788940169327,0,0,0.289398450738724,0.188401661543521,0,0,0,0,0,0,0.217216186676025
"Stenotrophomonas",0.159738098507571,0,0,0,0,0,0,0,0,0,0.270696590338152,0,0,0,0,0.177534741689138,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0.253129840771716,0.253129840771716,0,0,0,0.253129840771716,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0.253129840771716,0,0,0.278318792260931,0.270696590338152,0,0,0,0.304440862264674,0,0,0,0,0,0.159738098507571,0,0,0,0
"Moraxella",0.159738098507571,0,0,0,0,0,0.253129840771716,0.265788940169327,0,0.253129840771716,0,0,0.16509308238006,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0.313580968748761,0.25367343771436,0,0,0,0,0,0,0.304440862264674,0.16509308238006,0,0.490169916848228,0,0,0,0,0,0.384452529836343,0.142171348941134,0,0
"Candida",0,0,0,0,0,0,0,0,0,0,0,0,0.490169916848228,0,0.364464407860414,0,0,0,0,0,0,0,0.254726676851603
"Saccharomyces",0,0,0,0,0,0.142171348941134,0,0.289398450738724,0,0,0,0,0,0.364464407860414,0,0,0.142171348941134,0,0,0,0,0,0
"Curvularia",0,0,0,0,0,0,0,0.188401661543521,0.177534741689138,0,0,0,0,0,0,0,0,0,0,0,0,0.257030036233048,0
"Cryptococcus",0,0,0,0,0,0.253129840771716,0,0,0,0,0,0,0,0,0.142171348941134,0,0,0,0,0,0,0,0
"Debaryomyces",0,0,0,0.253129840771716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0.159738098507571,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0.384452529836343,0,0,0,0,0,0,0,0,0,0
"Flu_A",0,0.111392046366749,0,0,0,0,0,0,0,0,0,0,0.142171348941134,0,0,0,0,0,0,0,0,0,0
"Flu_B",0,0,0.257971394783208,0,0,0,0,0,0,0,0,0,0,0,0,0.257030036233048,0,0,0,0,0,0,0.318989595251985
"MPV",0,0.147828178018284,0,0,0,0,0,0.217216186676025,0,0,0,0,0,0.254726676851603,0,0,0,0,0,0,0,0.318989595251985,0
