"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.36142685884099,-0.381086375535869,0.184268919739515,-0.128681717781066,-0.162875202743109,-0.188025211245972,-0.175210147392589,-0.160120468417366,-0.231318291803144,-0.133581371215152,-0.224105901004561,-0.000940396340495896,-0.0725463943712994,-0.289892498530414,-0.225404066491369,-0.258056907925207,0.224246460357665,0.0640914775654258,0.306172326136815,0.565090254204132,-0.302150806053405,0.605755479390195
"Haemophilus",-0.36142685884099,1,-0.128724121530564,-0.1446594832975,-0.237112419271336,-0.161739611355299,-0.271091097580714,-0.338524912676132,-0.159670676716572,-0.184431927917063,-0.0581354480292152,-0.0299033427867528,-0.175935246911252,0.141132658141898,0.021161293662615,-0.212215624484575,-0.262671155220887,-0.164994097798393,-0.272869529179345,-0.267440887664809,-0.159246342569574,0.154094800428646,-0.23257009300794
"Streptococcus",-0.381086375535869,-0.128724121530564,1,0.238945225619223,0.43588535027139,-0.208111560246337,0.544608665573173,0.348291079121612,0.342044047733925,0.108770164031884,0.426982875613248,-0.216550578334632,0.106093925956426,-0.172088480783253,0.489874680704497,-0.135320731030399,-0.357326710934881,0.183460761417642,0.209768407547477,0.102520021773666,-0.309326113454153,-0.249777747757512,-0.358765940695762
"Veillonella",0.184268919739515,-0.1446594832975,0.238945225619223,1,0.01736619862854,-0.298656379598446,0.288616497095644,0.661894666513761,-0.20263880184985,-0.207317209064716,0.781648717591588,-0.354820581990446,0.576548024024626,-0.183153241516486,0.419759209709306,0.203132245876515,-0.244312744679096,-0.0661675743272551,-0.0530639763384296,0.347663965988476,-0.0724134388375687,-0.413895697401174,-0.0666033621798781
"Neisseria",-0.128681717781066,-0.237112419271336,0.43588535027139,0.01736619862854,1,-0.128512791597476,-0.000638681942987602,0.294289459352687,0.903973519837569,-0.123023355559039,0.255635440217541,-0.173973002266602,0.241025398644294,0.183369728579944,-0.0944738614348409,0.114939807982984,-0.0245141913956889,0.274602797595732,-0.00536703761024839,-0.113237622703621,-0.128240672322908,-0.243245773154551,-0.238522530843539
"Staphylococcus",-0.162875202743109,-0.161739611355299,-0.208111560246337,-0.298656379598446,-0.128512791597476,1,-0.054841270110537,-0.146117705994021,-0.0615825592774749,-0.0772776255018411,-0.232554279090036,-0.0834365526309518,-0.138686287573582,-0.0970383291576958,-0.14942411677957,0.375819115319161,0.428751470453044,-0.0955839091479487,-0.119036665290847,-0.117971614578011,-0.0607474502561264,0.401593688913692,-0.113714917072157
"Rothia",-0.188025211245972,-0.271091097580714,0.544608665573173,0.288616497095644,-0.000638681942987602,-0.054841270110537,1,0.373974319251714,-0.150334091727404,0.162064238699594,0.36269023142459,-0.140880063051003,0.172777482759882,-0.383123959560195,0.412350814534031,0.0725168185427367,-0.184095810608006,0.24601986163523,0.404170340664974,-0.19775262655374,-0.135727134672969,0.249556922337522,-0.228866834836517
"Granulicatella",-0.175210147392589,-0.338524912676132,0.348291079121612,0.661894666513761,0.294289459352687,-0.146117705994021,0.373974319251714,1,-6.83851917900367e-05,-0.0717967440447952,0.833633049048408,-0.151035626219075,0.845821985106592,-0.0662062031393799,0.28616761655537,0.626372265617887,0.193516230836794,-0.0122239505741167,-0.0365657603394542,0.0654146039095044,-0.146242135773252,-0.176894528881979,-0.251427670922832
"Stenotrophomonas",-0.160120468417366,-0.159670676716572,0.342044047733925,-0.20263880184985,0.903973519837569,-0.0615825592774749,-0.150334091727404,-6.83851917900367e-05,1,-0.1065692025383,0.0480543869851557,-0.0826138130833874,-0.143999130021692,0.230207818381606,-0.19094678580367,-0.0365647429561004,-0.0343106390950944,0.0281255702500366,-0.116467382133244,-0.114367593287348,-0.060208997741409,-0.141719506132469,-0.112582047874893
"Gemella",-0.231318291803144,-0.184431927917063,0.108770164031884,-0.207317209064716,-0.123023355559039,-0.0772776255018411,0.162064238699594,-0.0717967440447952,-0.1065692025383,1,-0.123530791357323,0.815516283203986,-0.110104177549221,-0.25963151980626,0.0936721162734735,0.217830073020509,0.373841950744484,0.0441572182839505,0.473847973616287,-0.148691734365515,-0.10515508903699,-0.138806899146554,0.18414137206049
"Prevotella",-0.133581371215152,-0.0581354480292152,0.426982875613248,0.781648717591588,0.255635440217541,-0.232554279090036,0.36269023142459,0.833633049048408,0.0480543869851557,-0.123530791357323,1,-0.202063241821938,0.639727484302976,-0.200119603526697,0.358705890103916,0.490219325994603,-0.049418563333266,-0.0888884665666273,-0.0355178635548759,0.0121972331270796,-0.0864273281551549,-0.280849515235116,-0.166584910284316
"Moraxella",-0.224105901004561,-0.0299033427867528,-0.216550578334632,-0.354820581990446,-0.173973002266602,-0.0834365526309518,-0.140880063051003,-0.151035626219075,-0.0826138130833874,0.815516283203986,-0.202063241821938,1,-0.181325850735137,-0.151926806306068,-0.138530597426618,0.276750589126972,0.618074354279953,-0.0926683498801691,0.205842773624166,-0.160466775602147,-0.0812743297736664,0.0908284346824277,0.198169382417139
"Leptotrichia",-0.000940396340495896,-0.175935246911252,0.106093925956426,0.576548024024626,0.241025398644294,-0.138686287573582,0.172777482759882,0.845821985106592,-0.143999130021692,-0.110104177549221,0.639727484302976,-0.181325850735137,1,0.0553798201837182,0.178741357836375,0.573180423765099,0.197650318447903,0.169962229336647,0.0082470326426361,-0.0394738380853104,-0.1354439472902,-0.265240509947268,-0.253674202867717
"Candida",-0.0725463943712994,0.141132658141898,-0.172088480783253,-0.183153241516486,0.183369728579944,-0.0970383291576958,-0.383123959560195,-0.0662062031393799,0.230207818381606,-0.25963151980626,-0.200119603526697,-0.151926806306068,0.0553798201837182,1,-0.562024876969157,-0.149609071955675,0.134336624161138,-0.133864435515357,-0.41757755128831,-0.253862183502471,0.0010489852401912,-0.218935825022331,-0.0679754759334963
"Saccharomyces",-0.289892498530414,0.021161293662615,0.489874680704497,0.419759209709306,-0.0944738614348409,-0.14942411677957,0.412350814534031,0.28616761655537,-0.19094678580367,0.0936721162734735,0.358705890103916,-0.138530597426618,0.178741357836375,-0.562024876969157,1,-0.108621776040261,-0.291524040321034,-0.128560020723747,0.266971511240584,0.217186656246929,-0.128350620176117,-0.111776603582575,-0.246261061237465
"Curvularia",-0.225404066491369,-0.212215624484575,-0.135320731030399,0.203132245876515,0.114939807982984,0.375819115319161,0.0725168185427367,0.626372265617887,-0.0365647429561004,0.217830073020509,0.490219325994603,0.276750589126972,0.573180423765099,-0.149609071955675,-0.108621776040261,1,0.683422413412884,-0.190945837146732,-0.106978449588017,-0.252148845581789,-0.139750088565278,0.134580331986445,-0.025213550241986
"Cryptococcus",-0.258056907925207,-0.262671155220887,-0.357326710934881,-0.244312744679096,-0.0245141913956889,0.428751470453044,-0.184095810608006,0.193516230836794,-0.0343106390950944,0.373841950744484,-0.049418563333266,0.618074354279953,0.197650318447903,0.134336624161138,-0.291524040321034,0.683422413412884,1,-0.189497024280873,-0.0743370589343524,-0.353367744111491,-0.161238542833213,0.188758724521312,0.112297205737642
