"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.363316200344123,-0.370993281543698,0.101326075870467,-0.304641941696569,-0.2094496374548,-0.277785893080162,-0.281318666859413,-0.0620853397291793,-0.262368850322622,-0.0489998233030321,0.470695931811088,-0.156021251173684,-0.362070143902034,0.312170740397021,-0.164931264240544,0.480506428947393,-0.198007307656807,-0.157090940982622,-0.0542146075943592,NA,0.251525985218416,0.0510163748378675
"Haemophilus",-0.363316200344123,1,-0.314534451361774,-0.404858409238205,-0.251846292137664,-0.209976199218336,-0.257656301998524,-0.249203359387906,-0.170360210394206,-0.156212665227734,-0.243262422768601,-0.140769335709414,-0.189313623443936,0.0140756322597459,-0.255520754732147,0.0229134503331746,-0.094860991653177,-0.135273359376024,0.102910313565085,-0.224840622344745,NA,0.158201135314977,-0.0172803631233826
"Streptococcus",-0.370993281543698,-0.314534451361774,1,-0.191215962313387,0.201595190495227,0.105178922754161,0.788740456130103,0.742783987859485,-0.237953378630864,0.611117012528632,-0.0495673155019596,-0.185108466196838,-0.077594083523542,0.130034035665717,-0.105536075637613,0.664756024516733,-0.228594978858703,0.00339509360323402,0.156564014786512,-0.126278519011764,NA,-0.369555198958269,-0.10808033560072
"Veillonella",0.101326075870467,-0.404858409238205,-0.191215962313387,1,0.393853075097322,-0.278984885879431,-0.159197119642093,-0.033850155432163,-0.207322025115689,-0.207634797266482,0.390324984293186,-0.209022360861397,0.572393383947255,-0.264765119391367,-0.0465117956077406,-0.187775828377579,0.21282542831809,0.100837135908184,-0.147321530408028,0.426670300013362,NA,0.272388654448445,0.0483689199718783
"Neisseria",-0.304641941696569,-0.251846292137664,0.201595190495227,0.393853075097322,1,-0.172083663972054,0.213342010376013,0.0809042204999047,-0.130375757290063,0.0906347099298607,0.422796395888647,-0.103709362924435,0.206470708015157,-0.212992281626381,0.43258920036527,-0.0307988392073651,-0.182097593815659,0.0221356916367917,-0.112891245761731,0.665083701233879,NA,-0.22417310506209,-0.246392578382917
"Staphylococcus",-0.2094496374548,-0.209976199218336,0.105178922754161,-0.278984885879431,-0.172083663972054,1,0.344846275552616,0.0012578217798284,0.753185711144205,0.476476513756279,-0.175496307782021,-0.0646006824081781,-0.126464098341294,0.513779147627231,-0.0331782110992084,0.0353733879737291,-0.107526222446826,-0.0894907530080876,-0.0878516196172298,-0.154603277406006,NA,-0.156525432856007,-0.265569688232767
"Rothia",-0.277785893080162,-0.257656301998524,0.788740456130103,-0.159197119642093,0.213342010376013,0.344846275552616,1,0.509956938660449,-0.132854549955025,0.864696155361292,-0.147812378484848,-0.122638812850739,-0.0592608703788,0.185119166694773,-0.121110785368743,0.687354407386078,-0.0693190411649362,-0.0860864171555674,-0.122840275152183,-0.199842975029565,NA,-0.19640420055153,-0.267626500852874
"Granulicatella",-0.281318666859413,-0.249203359387906,0.742783987859485,-0.033850155432163,0.0809042204999047,0.0012578217798284,0.509956938660449,1,-0.131825565110903,0.178903257164989,-0.123384664916932,-0.128051943736316,-0.0196845598869528,0.182730928639648,-0.0413589787908951,0.542351918368282,-0.114132263003088,-0.0419093868673168,-0.047414587996866,0.0565065294623265,NA,-0.179204249033509,-0.268595225319377
"Stenotrophomonas",-0.0620853397291793,-0.170360210394206,-0.237953378630864,-0.207322025115689,-0.130375757290063,0.753185711144205,-0.132854549955025,-0.131825565110903,1,-0.126110314460793,-0.0999648958750629,0.144421924999617,-0.097219891424861,0.614106803306599,0.0690724406388624,-0.256961927738935,-0.135093670871034,-0.0654549096564545,-0.0703048448342652,-0.124855662392163,NA,-0.126730223429499,-0.214924846638032
"Gemella",-0.262368850322622,-0.156212665227734,0.611117012528632,-0.207634797266482,0.0906347099298607,0.476476513756279,0.864696155361292,0.178903257164989,-0.126110314460793,1,-0.0981333867678838,-0.107888637746802,-0.0610618462938263,0.10979708305451,-0.100315806810209,0.47557074220781,-0.0751154291009016,-0.0824996754758974,0.124984735112581,-0.185433505475734,NA,-0.190984145249175,-0.257222053345371
"Prevotella",-0.0489998233030321,-0.243262422768601,-0.0495673155019596,0.390324984293186,0.422796395888647,-0.175496307782021,-0.147812378484848,-0.123384664916932,-0.0999648958750629,-0.0981333867678838,1,-0.134947410986246,0.569658750998161,-0.425349301994978,0.391204664996692,-0.0122686194850767,-0.129644041905971,0.00988511565787876,0.133440702135083,0.26360075687998,NA,-0.0823575784150481,0.126292237036655
"Moraxella",0.470695931811088,-0.140769335709414,-0.185108466196838,-0.209022360861397,-0.103709362924435,-0.0646006824081781,-0.122638812850739,-0.128051943736316,0.144421924999617,-0.107888637746802,-0.134947410986246,1,-0.0931406099146225,0.218274750181873,0.403900103216717,-0.220045497316915,-0.11260630850583,-0.0774087027384197,-0.0557560337444904,-0.104333931417272,NA,-0.105765493665504,-0.177840402851963
"Leptotrichia",-0.156021251173684,-0.189313623443936,-0.077594083523542,0.572393383947255,0.206470708015157,-0.126464098341294,-0.0592608703788,-0.0196845598869528,-0.097219891424861,-0.0610618462938263,0.569658750998161,-0.0931406099146225,1,-0.00565814754617225,-0.231027899824712,0.0569613196665774,-0.124386261559897,-0.0418849278451682,-0.0605745888156754,0.203634288812891,NA,-0.165485008003348,0.275672942727037
