"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.368005105398305,-0.318262579254328,-0.1608054449942,-0.201411642173679,-0.160946646829492,-0.15351199257438,-0.33922173020627,-0.00460725091531728,-0.215792001238177,-0.38992089238799,0.306296480545255,-0.148735531745938,0.170391685812502,-0.279764321169698,0.14760323861167,-0.0905810316584458,-0.151589503871247,-0.212716930352347,0.0333591609303267,-0.157115430490767,0.437664155898109,-0.220594455110311
"Haemophilus",-0.368005105398305,1,-0.244303753022924,-0.180358691615253,-0.141150545342159,-0.147019229956913,-0.210727363821904,-0.188826445363392,-0.199638308164324,-0.203134765632389,-0.124849480814859,-0.20429721834674,-0.177519443560296,0.249521957915414,-0.19357569357638,0.0853986359812678,-0.135696589956745,-0.145693876103524,-0.205000656956244,-0.210464158170859,0.364553414977321,0.139416826237558,-0.0115693586480513
"Streptococcus",-0.318262579254328,-0.244303753022924,1,0.580338706130231,-0.0440612577322751,-0.190721107079552,0.222002996042295,0.261143260144446,-0.0422666008572396,0.36231250607148,0.405483787423103,0.0550244947066868,0.421362056651995,-0.223558621128677,-0.156455773155528,0.160442519565318,-0.157831553160653,0.695689062735542,0.332961241936499,-0.029660591852128,-0.00446780273936502,-0.319611000651954,-0.239471060161019
"Veillonella",-0.1608054449942,-0.180358691615253,0.580338706130231,1,0.232302691214922,-0.223278446539922,-0.0629703129527217,0.117928957665614,0.0309114862501887,0.00973947466250206,0.580424302303375,0.112028512513827,0.636413994881377,-0.275396531172261,0.00141111338947463,-0.379900503823208,-0.350397746518267,0.857586764730722,-0.097313303211561,0.176321162692097,-0.178186071562345,-0.158932690198577,-0.361065408395894
"Neisseria",-0.201411642173679,-0.141150545342159,-0.0440612577322751,0.232302691214922,1,-0.118290242848489,0.195692480700104,0.612158117193304,-0.051468663623351,0.0183302054277475,0.0961993180802304,0.127022597417564,0.0550175338566779,-0.303713275534401,0.341608882982567,-0.106549158111058,-0.183607593072651,-0.111096464272488,-0.0355104472612545,0.244849849102696,-0.0377894105324683,0.134350536514071,-0.207279324977521
"Staphylococcus",-0.160946646829492,-0.147019229956913,-0.190721107079552,-0.223278446539922,-0.118290242848489,1,-0.0656270843110104,-0.158028571019183,-0.0856771367061408,-0.0654383173985974,-0.213202566579113,-0.123369255836881,-0.199502415472385,-0.490490615777015,0.492254871193219,-0.232662510745679,0.95668966223953,-0.0648988998462983,-0.0889664174478874,-0.150526745496269,-0.0631647584166718,-0.2288208778468,0.361200890596887
"Rothia",-0.15351199257438,-0.210727363821904,0.222002996042295,-0.0629703129527217,0.195692480700104,-0.0656270843110104,1,0.25048877779637,-0.0774778959059193,0.928527181799278,-0.175192236725864,0.19045962809434,-0.184690529900461,-0.0195559131482984,-0.0891772852407009,0.399339669331876,0.0436379211374901,-0.0690176233012444,-0.0304520515960286,-0.147656229549959,-0.111998534678117,-0.1629214175496,0.315252508920019
"Granulicatella",-0.33922173020627,-0.188826445363392,0.261143260144446,0.117928957665614,0.612158117193304,-0.158028571019183,0.25048877779637,1,-0.175203632487392,0.259361782716193,0.197062644306102,0.0204697862296851,0.0850195756573583,-0.531956088703684,0.636983243361241,0.0380953156039012,-0.167233898103925,-0.160327266168435,0.122717795681936,0.370820403088404,-0.0497655899205538,-0.0490549314289129,-0.260544355127434
"Stenotrophomonas",-0.00460725091531728,-0.199638308164324,-0.0422666008572396,0.0309114862501887,-0.051468663623351,-0.0856771367061408,-0.0774778959059193,-0.175203632487392,1,-0.0722454995408529,0.52579494538856,-0.127764393781782,0.171352947446454,0.132132902867138,-0.199952117876611,-0.203051203894244,-0.156146015104309,-0.0868243985195962,0.678107059599124,0.380650772392427,-0.0876242464839875,-0.0589602253157731,-0.241600773865775
"Gemella",-0.215792001238177,-0.203134765632389,0.36231250607148,0.00973947466250206,0.0183302054277475,-0.0654383173985974,0.928527181799278,0.259361782716193,-0.0722454995408529,1,0.0305303140543775,0.292730892546616,0.0642926335891412,-0.131113527335533,-0.063674545616564,0.356165252458069,0.0346962660861445,0.0302700352649868,0.0506355046463596,0.0306648441411556,-0.103439071950304,-0.375245914930146,0.274242485913434
"Prevotella",-0.38992089238799,-0.124849480814859,0.405483787423103,0.580424302303375,0.0961993180802304,-0.213202566579113,-0.175192236725864,0.197062644306102,0.52579494538856,0.0305303140543775,1,-0.0745055517565679,0.657166209693921,-0.231639721743705,0.0683177910750415,-0.294361002623036,-0.318375236476173,0.389426210671102,0.511913732965793,0.49440681912261,-0.176325513263205,-0.31705059957451,-0.313157458640872
"Moraxella",0.306296480545255,-0.20429721834674,0.0550244947066868,0.112028512513827,0.127022597417564,-0.123369255836881,0.19045962809434,0.0204697862296851,-0.127764393781782,0.292730892546616,-0.0745055517565679,1,0.548877022462632,-0.074319112864976,-0.181621529461677,-0.157456656624211,-0.172308008492932,-0.013652631704768,-0.153492628745808,0.559569165640208,-0.122944290906095,-0.262281754868739,-0.102162264675046
"Leptotrichia",-0.148735531745938,-0.177519443560296,0.421362056651995,0.636413994881377,0.0550175338566779,-0.199502415472385,-0.184690529900461,0.0850195756573583,0.171352947446454,0.0642926335891412,0.657166209693921,0.548877022462632,1,-0.250760973005876,-0.0096238278969719,-0.450291164642645,-0.345625484050716,0.517076083443128,0.125850551259825,0.702375444533223,0.0442012093736236,-0.57687831434537,-0.308640591844336
"Candida",0.170391685812502,0.249521957915414,-0.223558621128677,-0.275396531172261,-0.303713275534401,-0.490490615777015,-0.0195559131482984,-0.531956088703684,0.132132902867138,-0.131113527335533,-0.231639721743705,-0.074319112864976,-0.250760973005876,1,-0.745983642211308,0.110783927887173,-0.458312473975854,-0.159545248388107,0.0464816084688786,-0.365956324258495,-0.0166242794171541,0.247017733161616,0.287042490063783
"Saccharomyces",-0.279764321169698,-0.19357569357638,-0.156455773155528,0.00141111338947463,0.341608882982567,0.492254871193219,-0.0891772852407009,0.636983243361241,-0.199952117876611,-0.063674545616564,0.0683177910750415,-0.181621529461677,-0.0096238278969719,-0.745983642211308,1,-0.32051964895642,0.402084512831736,-0.164609692880135,-0.186597065557942,0.278714256548039,-0.0361520283989902,-0.189796006441804,0.0386597598850142
"Curvularia",0.14760323861167,0.0853986359812678,0.160442519565318,-0.379900503823208,-0.106549158111058,-0.232662510745679,0.399339669331876,0.0380953156039012,-0.203051203894244,0.356165252458069,-0.294361002623036,-0.157456656624211,-0.450291164642645,0.110783927887173,-0.32051964895642,1,0.0537205886349999,-0.225745608896999,0.0349803086178466,-0.436818336962531,0.277623474513249,0.288907405049354,-0.00295995135287687
