"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.5562435500516,-0.240454076367389,0.341589267285862,0.00928792569659443,0.228218837436785,0.0505675954592363,0.0278637770897833,-0.120993019901099,-0.300931357189912,-0.102167182662539,-0.220741489182196,0.33952528379773,-0.0691434468524252,-0.00928792569659443,-0.244582043343653,0.135190918472652,-0.147880357656899,0.127526095040254,0.724239765358117,0.397359707119513,-0.325206914740101,0.257292217685943
"Haemophilus",-0.5562435500516,1,0.219814241486068,-0.0113519091847265,0.00928792569659443,-0.104773193550524,0.0794633642930856,-0.0732714138286894,0.00517064187611533,0.23267888442519,0.275541795665635,0.047301747681899,0.13312693498452,-0.0381836945304438,0.384932920536636,-0.2218782249742,-0.3890608875129,-0.0961739388957452,0.0722647871894773,-0.355663936634537,-0.350611506281923,0.0639965414548793,-0.348715848335771
"Streptococcus",-0.240454076367389,0.219814241486068,1,0.415892672858617,0.568627450980392,-0.201247520285165,0.463364293085655,0.727554179566563,0.282317046435897,0.398139424460881,0.678018575851393,-0.125086843869911,0.275541795665635,-0.157894736842105,0.341589267285862,-0.112487100103199,-0.178534571723426,0.307136127441251,0.184204359502589,-0.120902262288308,-0.350611506281923,-0.270352736350204,-0.474096827512677
"Veillonella",0.341589267285862,-0.0113519091847265,0.415892672858617,1,0.228070175438596,-0.351664481323046,0.325077399380805,0.504643962848297,-0.183040722414483,-0.0713548578903916,0.688338493292054,-0.385772031094599,0.545923632610939,-0.0237358101135191,0.475748194014448,-0.259029927760578,-0.411764705882353,-0.398139424460881,-0.0170034793387005,0.315754451995678,-0.0233741004187949,-0.487157346176938,-0.223334869158864
"Neisseria",0.00928792569659443,0.00928792569659443,0.568627450980392,0.228070175438596,1,0.301871280427747,0.149638802889577,0.781217750257998,0.220269343922513,0.116856506400207,0.188854489164087,-0.174490891448783,0.576883384932921,-0.110423116615067,0.0381836945304438,0.0588235294117647,0.0588235294117647,0.292658330188128,0.154448270659863,-0.00352142511519344,-0.397359707119513,-0.129299134776185,-0.429691064054189
"Staphylococcus",0.228218837436785,-0.104773193550524,-0.201247520285165,-0.351664481323046,0.301871280427747,1,0.0778018763989039,0.0435690507833862,0.195427145699031,-0.0634098717427706,-0.461624466633496,0.0950954565353246,0.302908638779733,-0.106847910254495,-0.0352701839675031,0.294609771963849,0.518679175992693,0.0114345670355816,0.111097360168358,-0.0330375488964151,-0.328939119916469,0.253378825144523,-0.0223183421111756
"Rothia",0.0505675954592363,0.0794633642930856,0.463364293085655,0.325077399380805,0.149638802889577,0.0778018763989039,1,0.289989680082559,-0.0403310066336996,0.422958505466234,0.426212590299278,-0.236508738409495,0.372549019607843,-0.475748194014448,0.434468524251806,-0.126934984520124,-0.0485036119711042,0.166494668410914,0.503019597103225,-0.151421279953318,-0.210366903769154,0.129299134776185,-0.398345819259963
"Granulicatella",0.0278637770897833,-0.0732714138286894,0.727554179566563,0.504643962848297,0.781217750257998,0.0435690507833862,0.289989680082559,1,0.228542370924298,0.14167558740556,0.51702786377709,-0.230201838718575,0.638802889576883,-0.190918472652219,0.168214654282766,0.0546955624355005,0.00309597523219814,0.0548088038868225,0.205458708675965,0.113859412057921,-0.350611506281923,-0.319982707274396,-0.325206914740101
"Stenotrophomonas",-0.120993019901099,0.00517064187611533,0.282317046435897,-0.183040722414483,0.220269343922513,0.195427145699031,-0.0403310066336996,0.228542370924298,1,-0.218652849740933,0.189245492665821,0.21698520640936,-0.19545026291716,-0.0237849526301305,0.0113754121274537,0.375388600205973,0.0879009118939607,-0.129533678756477,-0.278298493366841,-0.0270534882464032,-0.25764743458574,0.36776041083706,-0.208092189761895
"Gemella",-0.300931357189912,0.23267888442519,0.398139424460881,-0.0713548578903916,0.116856506400207,-0.0634098717427706,0.422958505466234,0.14167558740556,-0.218652849740933,1,0.0134436688778999,0.472943483872828,0.131334303653329,-0.629784180510848,0.329886951696158,0.139607330655114,0.118924763150653,0.564766839378238,0.390469824876946,-0.32346562033743,-0.351337410798737,0.129566835134765,-0.223797260687321
