"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.506707946336429,-0.0918472652218782,0.104231166150671,-0.269349845201238,0.065015479876161,0.0794633642930856,-0.298245614035088,0.271975762683667,-0.395252837977296,0.242518059855521,-0.0723504570252706,-0.45191409997248,-0.397316821465428,0.417956656346749,0.135190918472652,0.281879232195049,-0.232546532594146,0.079366728766282,-0.325206914740101,NA,-0.0226713057849341,0.193678381335639
"Haemophilus",-0.506707946336429,1,0.0113519091847265,-0.304437564499484,0.100103199174407,-0.143446852425181,-0.0959752321981424,0.0257997936016512,-0.398139424460881,0.372549019607843,0.0175438596491228,-0.0809893175656014,0.313340897692589,-0.0175438596491228,-0.254901960784314,0.178534571723426,0.0898296454247958,0.318056916776746,-0.079366728766282,0.0509360227906182,NA,-0.177119576444797,0.0363880595236655
"Streptococcus",-0.0918472652218782,0.0113519091847265,1,0.087719298245614,0.368421052631579,0.306501547987616,0.494324045407637,0.836945304437564,0.154085127908237,0.471620227038184,0.087719298245614,-0.0745101721603533,0.131334303653329,0.186790505675955,-0.124871001031992,0.395252837977296,-0.151781125028103,0.453622159993064,0.0491317844743651,-0.207662246761751,NA,-0.596538733466078,0.00352142511519344
"Veillonella",0.104231166150671,-0.304437564499484,0.087719298245614,1,0.411764705882353,-0.405572755417957,0.184726522187822,0.263157894736842,0.133402560403776,-0.120743034055728,0.512899896800826,-0.07990945999806,0.495347491731849,-0.248710010319917,-0.273477812177503,-0.232198142414861,-0.318017595296978,0.188748530939643,-0.226762082189377,0.233783284090273,NA,0.0368408719005179,0.259411650152583
"Neisseria",-0.269349845201238,0.100103199174407,0.368421052631579,0.411764705882353,1,0.217750257997936,0.240454076367389,0.531475748194014,0.309204384191697,0.314757481940144,0.275541795665635,0.221370801345977,0.656671518266647,0.391124871001032,-0.0980392156862745,-0.306501547987616,-0.677336176996162,0.580844926703763,0.0982635689487301,0.267740632617352,NA,-0.374076545451412,-0.160811746927167
"Staphylococcus",0.065015479876161,-0.143446852425181,0.306501547987616,-0.405572755417957,0.217750257997936,1,0.436532507739938,0.263157894736842,0.576009504999248,0.149638802889577,-0.232198142414861,0.292641400803706,-0.154085127908237,0.60577915376677,0.17234262125903,0.0835913312693498,-0.278781658214884,0.184577292686833,0.119050093149423,-0.210274350494603,NA,0.0340069586774011,-0.250021183178734
"Rothia",0.0794633642930856,-0.0959752321981424,0.494324045407637,0.184726522187822,0.240454076367389,0.436532507739938,1,0.583075335397317,0.25956622218099,0.39938080495356,-0.0670794633642931,0.126343335402338,0.284385303186343,0.372549019607843,-0.358101135190918,0.446852425180599,0,0.399396062706537,-0.406282063922634,-0.283413255014465,NA,-0.229546971072457,0.134987962749082
"Granulicatella",-0.298245614035088,0.0257997936016512,0.836945304437564,0.263157894736842,0.531475748194014,0.263157894736842,0.583075335397317,1,0.0589453173877148,0.56656346749226,0.0402476780185759,-0.0863886054033081,0.340228235448389,0.27141382868937,-0.201238390092879,0.259029927760578,-0.265358837634167,0.413995396591371,-0.115270725112933,0.084893371317697,NA,-0.41091741735193,-0.261759266896046
"Stenotrophomonas",0.271975762683667,-0.398139424460881,0.154085127908237,0.133402560403776,0.309204384191697,0.576009504999248,0.25956622218099,0.0589453173877148,1,-0.294726586938574,0.0548088038868225,0.499927104548377,-0.0300518134715026,0.443641072970696,0.0320579796319151,-0.131334303653329,-0.496637949388348,0.136890885489711,0.187466044758781,-0.260442426179982,NA,0.00851934163367882,0.00352871585822651
"Gemella",-0.395252837977296,0.372549019607843,0.471620227038184,-0.120743034055728,0.314757481940144,0.149638802889577,0.39938080495356,0.56656346749226,-0.294726586938574,1,0.215686274509804,-0.00539928783770676,0.348501262450173,0.197110423116615,0.0815273477812178,0.535603715170279,0.182756864829757,0.270087676869434,0.0245658922371825,-0.176317001967525,NA,-0.20970957851064,-0.308711601765291
