"","Pseudomonas","Haemophilus","Streptococcus","Veillonella","Neisseria","Staphylococcus","Rothia","Granulicatella","Stenotrophomonas","Gemella","Prevotella","Moraxella","Leptotrichia","Candida","Saccharomyces","Curvularia","Cryptococcus","Debaryomyces","PIV3","RV","Flu_A","Flu_B","MPV"
"Pseudomonas",1,-0.463235294117647,-0.0514705882352941,0.0833333333333333,-0.196078431372549,-0.408338519423929,0.259803921568627,-0.117647058823529,0.226031062643323,0.00245098039215686,-0.053921568627451,0.559813352064777,-0.240196078431373,0.112745098039216,-0.33578431372549,0.254901960784314,0.125,0.0974124555355009,0.188162636291264,0.0716545974710792,-0.105021006302101,0.391109928618784,-0.368888483277037
"Haemophilus",-0.463235294117647,1,0.137254901960784,0.25,0.54656862745098,-0.00858369260050302,-0.242647058823529,0.406862745098039,-0.205713663754035,0.235294117647059,0.225490196078431,-0.173862737095008,0.301470588235294,-0.100490196078431,-0.0637254901960784,0.0808823529411765,-0.0931372549019608,0.177561944267242,-0.0393828773632878,0.0769623454318999,-0.00875175052517506,-0.101586994446437,-0.169847934746262
"Streptococcus",-0.0514705882352941,0.137254901960784,1,0.325980392156863,0.497549019607843,0.264868228815522,0.526960784313726,0.507352941176471,0.523173021399152,0.830882352941177,0.568627450980392,0.274974399802743,0.571078431372549,-0.529411764705882,-0.0735294117647059,0.16421568627451,-0.100490196078431,0.336627852673313,0.323814769431477,0.145963068922569,0.157531509453151,-0.637458390151394,-0.289272263864727
"Veillonella",0.0833333333333333,0.25,0.325980392156863,1,0.468137254901961,-0.155732708609126,0.0808823529411765,0.257352941176471,0.530792045982635,0.181372549019608,0.786764705882353,0.35142468136225,0.590686274509804,-0.242647058823529,-0.294117647058824,-0.286764705882353,-0.632352941176471,0.401980512716118,-0.0918933805143381,0.472389568513041,-0.402580524158053,-0.126983743058047,-0.448504702689348
"Neisseria",-0.196078431372549,0.54656862745098,0.497549019607843,0.468137254901961,1,0.095646860405605,0.235294117647059,0.850490196078431,0.401268628063427,0.507352941176471,0.620098039215686,0.146735217831957,0.627450980392157,-0.279411764705882,0.0686274509803922,-0.0857843137254902,-0.394607843137255,0.0974124555355009,0.227545513654552,0.557313535886172,-0.0918933805143381,-0.403808302924588,-0.294580011825548
"Staphylococcus",-0.408338519423929,-0.00858369260050302,0.264868228815522,-0.155732708609126,0.095646860405605,1,0.104230553006108,-0.126302905407402,0.41676212446522,0.302881724617749,0.182710028210707,-0.404694701544741,0.192519962611282,-0.0637645736037367,-0.199877413411713,-0.307786691818037,-0.0748007498043834,-0.247381974572319,0.486020051847191,-0.104892314180873,-0.262713541539022,-0.53111758544653,0.134102832054028
"Rothia",0.259803921568627,-0.242647058823529,0.526960784313726,0.0808823529411765,0.235294117647059,0.104230553006108,1,0.365196078431373,0.497776272787543,0.524509803921569,0.125,0.393349029314238,-0.0563725490196079,-0.426470588235294,-0.0220588235294118,0.399509803921569,0.284313725490196,0.331695576443668,0.170659135240914,-0.0530774796082068,-0.0525105031510504,-0.147301141947334,0.0159232438824621
"Granulicatella",-0.117647058823529,0.406862745098039,0.507352941176471,0.257352941176471,0.850490196078431,-0.126302905407402,0.365196078431373,1,0.241269111810289,0.470588235294118,0.46078431372549,0.16646432275054,0.401960784313726,-0.330882352941177,0.32843137254902,0.120098039215686,-0.139705882352941,0.0653526600428044,0.249424889967489,0.461774072591399,0.0481346278884628,-0.24634846153261,-0.220271540374058
"Stenotrophomonas",0.226031062643323,-0.205713663754035,0.523173021399152,0.530792045982635,0.401268628063427,0.41676212446522,0.497776272787543,0.241269111810289,1,0.347935455979048,0.624760015845589,0.336032614852701,0.396189278341105,-0.0228570737504484,-0.38095122917414,-0.198094639170553,-0.464760499592451,0.103492934612429,0.435285750066007,0.357488381816383,-0.385409257870944,-0.3,-0.211743118460473
"Gemella",0.00245098039215686,0.235294117647059,0.830882352941177,0.181372549019608,0.507352941176471,0.302881724617749,0.524509803921569,0.470588235294118,0.347935455979048,1,0.441176470588235,0.315665678697319,0.441176470588235,-0.556372549019608,-0.107843137254902,0.127450980392157,0,0.178795013324654,0.288807767330777,0.0902317153339516,-0.00437587526258753,-0.647617089596038,-0.143309194942158
"Prevotella",-0.053921568627451,0.225490196078431,0.568627450980392,0.786764705882353,0.620098039215686,0.182710028210707,0.125,0.46078431372549,0.624760015845589,0.441176470588235,1,0.0554881075835132,0.727941176470588,-0.25,-0.208333333333333,-0.21078431372549,-0.580882352941177,0.14920135594678,0.385077023107703,0.421965962885244,-0.402580524158053,-0.314919682783956,-0.419312088904834
"Moraxella",0.559813352064777,-0.173862737095008,0.274974399802743,0.35142468136225,0.146735217831957,-0.404694701544741,0.393349029314238,0.16646432275054,0.336032614852701,0.315665678697319,0.0554881075835132,1,0.0863148340187983,-0.0986455245929123,-0.161532046520894,-0.0332928645501079,-0.262643709228629,0.384615384615385,-0.328018822180549,0.162887474560859,-0.0462308407100103,-0.0408860976246632,-0.0680923049393753
"Leptotrichia",-0.240196078431373,0.301470588235294,0.571078431372549,0.590686274509804,0.627450980392157,0.192519962611282,-0.0563725490196079,0.401960784313726,0.396189278341105,0.441176470588235,0.727941176470588,0.0863148340187983,1,-0.237745098039216,-0.299019607843137,-0.352941176470588,-0.686274509803922,0.378552200625301,0.131276257877626,0.461774072591399,0.122524507352451,-0.62729969070675,-0.297233885805958
"Candida",0.112745098039216,-0.100490196078431,-0.529411764705882,-0.242647058823529,-0.279411764705882,-0.0637645736037367,-0.426470588235294,-0.330882352941177,-0.0228570737504484,-0.556372549019608,-0.25,-0.0986455245929123,-0.237745098039216,1,-0.32843137254902,0.0245098039215686,-0.132352941176471,-0.214554015989584,0.0481346278884628,-0.228233162315289,-0.0481346278884628,0.43682407611968,0.437889206767706
"Saccharomyces",-0.33578431372549,-0.0637254901960784,-0.0735294117647059,-0.294117647058824,0.0686274509803922,-0.199877413411713,-0.0220588235294118,0.32843137254902,-0.38095122917414,-0.107843137254902,-0.208333333333333,-0.161532046520894,-0.299019607843137,-0.32843137254902,1,-0.0686274509803922,0.218137254901961,-0.469799310873745,-0.166283259978326,0.122078203098876,0.157531509453151,-0.0457141475008968,0.132693699020517
"Curvularia",0.254901960784314,0.0808823529411765,0.16421568627451,-0.286764705882353,-0.0857843137254902,-0.307786691818037,0.399509803921569,0.120098039215686,-0.198094639170553,0.127450980392157,-0.21078431372549,-0.0332928645501079,-0.352941176470588,0.0245098039215686,-0.0686274509803922,1,0.723039215686275,0.235516189965578,0.0918933805143381,-0.480351190454272,0.258176640492664,0.398728953202266,0.00265387398041034
"Cryptococcus",0.125,-0.0931372549019608,-0.100490196078431,-0.632352941176471,-0.394607843137255,-0.0748007498043834,0.284313725490196,-0.139705882352941,-0.464760499592451,0,-0.580882352941177,-0.262643709228629,-0.686274509803922,-0.132352941176471,0.218137254901961,0.723039215686275,1,-0.0949463174206781,0.0525105031510504,-0.573236779768634,0.188162636291264,0.274284885005381,0.145963068922569
