,ko00540,ko02010,ko00290,ko04122,ko00630,ko04540,ko00521,ko05204,ko03020,ko00362,ko04626,ko00620,ko04011,ko00250,ko04112,ko00260,ko03030,ko00330,ko00520,ko00440,ko04146,ko00030,ko02040,ko00564,ko00740,ko00340,ko00590,ko05134,ko00790,ko03430,ko00910,ko00770,ko00300,ko00860,ko05110,ko03420,ko00310,ko03018,ko00680,ko00311,ko04066,ko00670,ko00240,ko05111,ko02030,ko04070,ko00480,ko00071,ko03440,ko00020,ko00052,ko00627,ko03410,ko00550,ko02060,ko04974,ko00780,ko05142,ko00960,ko01053,ko00750,ko00660,ko00281,ko00791,ko04510,ko00908,ko00561,ko00040,ko05150,ko00760,ko00940,ko00500,ko00450,ko04142,ko01040,ko00785,ko00511,ko00930,ko00360,ko00361,ko00633,ko04010,ko00920,ko03060,ko00430,ko04113,ko05340,ko05143,ko00941,ko00363,ko00983,ko00625,ko00640,ko00062,ko03013,ko00562,ko00720,ko00945,ko04740,ko00140,ko00380,ko04514,ko04151,ko05203,ko04330,ko00591,ko00460,ko04310,ko04144,ko05200,ko05030,ko00510,ko00120,ko05100,ko04080,ko05010,ko04910,ko05219,ko04141,ko03040,ko00600,ko04111,ko05014,ko04110,ko04520,ko04976,ko04630,ko00621,ko05132,ko04210,ko03050,ko00830,ko00053,ko00565,ko00906,ko05032,ko00563,ko04145,ko04940,ko00100,ko04020,ko04270,ko00710,ko04810,ko05012,ko04710,ko00514,ko05146,ko04114,ko03015,ko05152,ko04120,ko00195,ko05322,ko04340,ko00513,ko05202,ko05133,ko04012,ko05016,ko04140,ko03008,ko04512,ko05034,ko00232,ko04621,ko04530,ko00531,ko05310,ko04150,ko04260,ko04115,ko00624,ko03022,ko05166,ko04130,ko03450,ko04970,ko04360,ko04972,ko03320,ko05130,ko05144,ko04350,ko04380,ko04064,ko00622,ko05131,ko00312,ko04612,ko00592,ko04062,ko05410,ko05412,ko04013,ko00253,ko00532,ko04610,ko00601,ko00534,ko05161,ko04623,ko04666,ko04744,ko04973,ko05168,ko04672,ko00909,ko04060,ko04742,ko00512,ko04723,ko04075,ko00901,ko00643,ko00364,ko00984,ko04962,ko05160,ko05164,ko05222,ko05020,ko04622,ko00522,ko04975,ko04971,ko00603,ko00904,ko04650,ko00980,ko05215,ko04670,ko04722,ko04950,ko04320,ko04930,ko00533,ko04964,ko04712,ko04614,ko02020,ko00280,ko00970,ko00230,ko03070,ko00650,ko00051,ko00190,ko00400,ko00730,ko00010,ko00061,ko03010,ko00270,ko00130,ko05120,ko00900,ko00350,ko04640,ko04966,ko00903,ko01057,ko00351,ko00523,ko01056,ko05323,ko04912,ko00196,ko04711,ko05211,ko04370,ko05416,ko05145,ko04960,ko05220,ko00604,ko04745,ko05169,ko05320
AL0002,0,6,0,0,0,0,0,0,0,0,0,8,0,2,54,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0003,0,12,2,0,0,0,0,0,1,0,0,4,0,16,50,12,10,10,8,0,6,0,0,8,0,1,1,0,2,0,6,4,0,8,0,4,0,2,0,0,4,0,193,0,0,4,0,0,1,0,6,0,0,1,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,11,6,0,0,6,4,0,4,0,10,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL0004,4,9,0,2,0,0,0,0,7,0,0,1,0,2,62,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,2,14,0,0,0,4,0,0,0,0,2,0,0,4,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,2,0,0,0,2,0,0,4,4,217,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0001,1166,8706,1596,686,224,0,630,70,2274,18,392,2478,62,4046,1900,3636,3242,1538,1531,94,906,1858,10,926,447,842,156,320,758,630,776,654,1777,1892,4,1521,476,2590,514,26,674,798,1822,158,134,354,833,54,1795,1044,1066,36,890,2200,1542,52,354,44,0,122,228,8,40,4,0,122,674,236,468,1074,76,1286,204,286,52,146,184,0,114,6,136,0,258,170,0,22,28,0,0,0,10,0,96,0,214,80,528,22,0,0,70,0,112,226,0,0,0,0,0,204,0,46,0,78,0,0,18,2,4,20,6,2,4,0,0,0,0,0,50,16,24,0,20,2,32,0,0,0,4,0,0,0,2,4,0,0,0,12,0,2,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,546,7399,4432,2510,200,675,3184,1778,828,2180,1370,4217,2524,784,344,1348,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0002,2703,11593,2944,910,517,1,1115,332,3885,82,757,4757,77,6607,2927,6025,4287,2548,1960,155,1578,2927,24,1164,795,1595,231,782,1103,1025,1824,1073,2783,3210,7,2365,810,4110,843,25,916,1138,2644,284,137,753,1182,55,3348,2016,923,27,1551,2901,1107,64,520,34,0,71,394,7,142,3,3,151,825,241,211,1734,39,1782,307,131,113,209,112,0,272,1,66,1,751,251,3,9,57,0,0,0,8,0,343,0,353,120,817,6,1,0,130,0,66,399,0,0,0,2,2,368,0,22,0,36,2,3,7,5,1,16,7,0,0,0,0,0,4,0,47,6,6,5,18,0,9,0,0,0,1,0,1,7,1,0,0,0,0,0,0,0,1,7,0,5,0,0,0,0,0,0,0,2,0,0,0,8,0,10,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4737,544,10778,6630,5275,326,652,6082,2571,1351,3079,2046,7156,3638,1254,447,2045,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0006,0,10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,12,0,3,0,2,6,0,0,0,4,0,0,0,0,2,0,0,14,0,0,0,8,0,0,0,0,0,0,4,6,4,0,0,0,4,0,0,18,0,0,2,0,0,4,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,28,0,6,2,0,6,0,0,4,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0012,1406,15464,2064,1330,1252,0,648,478,2752,760,302,3186,118,4370,2402,5946,3444,3606,1796,250,1322,2096,1142,1398,726,1922,354,164,898,954,1774,1082,2444,2850,110,1656,676,2947,632,338,789,808,2001,226,2800,388,1076,314,2769,884,1152,370,1394,2930,1954,4,540,76,18,770,605,0,1192,140,2,112,1228,484,422,1462,214,1420,328,230,270,92,352,90,694,216,94,0,638,240,128,4,60,28,28,20,88,14,322,0,250,264,326,104,0,84,68,0,334,250,0,42,102,4,13,300,74,20,0,66,0,6,6,2,0,14,12,0,0,4,0,0,0,0,28,48,10,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11094,3072,8078,5653,6456,522,1424,3149,2426,959,2348,1600,4134,3353,912,306,1224,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0016,182,1217,177,110,54,1,16,27,168,29,18,275,7,267,194,426,212,272,177,16,105,183,0,82,61,70,8,9,67,74,108,66,114,214,0,73,76,237,62,0,58,72,110,10,38,30,145,31,202,58,108,22,73,265,246,2,59,10,2,16,26,3,2,3,1,10,86,72,8,95,13,148,19,6,4,14,5,1,58,4,3,2,22,13,3,4,3,0,0,0,6,0,1,0,26,17,19,2,0,9,4,0,0,24,0,0,0,0,3,10,0,1,0,0,0,13,5,1,14,11,0,7,1,4,0,0,0,0,12,3,8,0,25,0,0,0,2,2,0,0,0,0,0,2,7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,107,563,404,223,3,137,181,200,58,269,81,316,353,92,32,94,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0018,150,888,172,52,80,14,37,14,282,14,34,218,82,556,232,362,364,194,218,8,196,200,4,132,40,116,22,22,50,62,34,98,198,440,0,190,62,394,102,0,104,108,224,0,24,50,80,0,194,152,134,0,110,104,78,10,54,2,4,0,36,0,4,0,26,18,104,60,0,132,20,152,52,117,6,2,20,0,8,22,58,8,48,58,2,94,6,6,0,0,0,0,2,12,232,4,48,0,2,6,16,0,22,36,16,0,0,12,162,12,0,60,0,0,10,198,0,0,250,282,38,274,6,230,16,0,10,0,2,8,84,0,4,4,0,12,40,26,0,52,4,0,0,60,124,0,34,4,24,50,6,102,4,18,0,28,74,0,26,0,74,46,0,6,0,0,26,0,0,10,6,6,10,88,0,50,18,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,8,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,168,774,503,152,24,92,218,168,147,196,74,448,336,144,46,140,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH0019,0,9,2,0,0,0,0,0,0,0,4,2,0,2,66,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
