"","Candida","Aspergillus","Malassezia","Nakaseomyces","Puccinia","Penicillium","Saccharomyces","Rhizophagus","Clavispora","Cryptococcus","Pichia","Aureobasidium","Botrytis","Trichophyton","Saccharomycodes","Trichosporon"
"CH0001",5.88235294117647,58.8235294117647,23.5294117647059,0,0,11.7647058823529,0,0,0,0,0,0,0,0,0,0
"CH0012",83.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH0016",66.9691470054447,0.907441016333938,0,27.2232304900181,0.362976406533575,0,0.725952813067151,0.181488203266788,0,0.362976406533575,0,0.362976406533575,0,0,0.544464609800363,0.181488203266788
"CH0018",98.7226277372263,0.24330900243309,0,0.121654501216545,0,0,0.364963503649635,0.0608272506082725,0,0,0,0,0,0,0.48661800486618,0
"CH0023",87.3239436619718,4.92957746478873,2.8169014084507,0,0.704225352112676,1.40845070422535,0,0,0,2.11267605633803,0,0.704225352112676,0,0,0,0
"CH0035",50,10,0,0,0,10,0,20,0,0,0,0,0,0,10,0
"CH0050",15.3846153846154,46.1538461538462,0,0,0,0,0,15.3846153846154,7.69230769230769,0,7.69230769230769,0,0,7.69230769230769,0,0
"CH0055",0,37.5,37.5,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0
"DU0002",75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DU0004",2.9585798816568,6.50887573964497,0,1.18343195266272,24.2603550295858,0,62.1301775147929,0,1.18343195266272,0,0,0,0,0.591715976331361,0.591715976331361,0
"DU0005",0,30,10,0,0,10,30,20,0,0,0,0,0,0,0,0
"DU0007",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"DU0010",83.3333333333333,0,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,0,0
"DU0012",33.3333333333333,33.3333333333333,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0
"DU0013",0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
"DU0017",96.8992248062015,0.775193798449612,1.55038759689922,0,0,0.775193798449612,0,0,0,0,0,0,0,0,0,0
"DU0019",0,0,33.3333333333333,0,0,0,0,66.6666666666667,0,0,0,0,0,0,0,0
"DU0034",81.8181818181818,18.1818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DU0038",33.3333333333333,20,0,0,13.3333333333333,0,0,6.66666666666667,13.3333333333333,13.3333333333333,0,0,0,0,0,0
"DU0047",66.6666666666667,11.1111111111111,0,0,0,0,0,22.2222222222222,0,0,0,0,0,0,0,0
