"","x"
"1",1
"2",1
"3",1
"4",2
"5",2
"6",2
"7",2
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",2
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",2
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",2
"39",1
"40",2
"41",1
"42",1
"43",1
"44",1
"45",2
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",2
"58",1
"59",1
"60",1
"61",2
"62",1
"63",1
"64",2
"65",1
"66",1
"67",1
"68",2
"69",2
"70",1
"71",1
"72",1
"73",1
"74",2
"75",1
"76",2
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",2
"89",1
"90",1
"91",1
"92",2
"93",2
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",2
"105",1
"106",1
"107",1
"108",1
"109",2
"110",1
"111",1
"112",2
"113",2
"114",2
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",2
"127",1
"128",1
"129",2
"130",1
"131",1
"132",2
"133",1
"134",2
"135",1
"136",1
"137",1
"138",2
"139",2
"140",1
"141",2
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",2
"151",1
"152",2
"153",1
"154",2
"155",1
"156",2
"157",1
"158",1
"159",1
"160",1
"161",2
"162",2
"163",2
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",2
"174",2
"175",1
"176",1
"177",2
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",2
"188",1
"189",2
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",2
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",2
"214",1
"215",2
"216",1
"217",1
