"","x"
"1",2
"2",2
"3",1
"4",2
"5",1
"6",2
"7",1
"8",3
"9",1
"10",2
"11",1
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",3
"19",1
"20",3
"21",2
"22",3
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",3
"30",2
"31",2
"32",1
"33",2
"34",2
"35",2
"36",2
"37",1
"38",1
"39",1
"40",1
"41",1
"42",2
"43",1
"44",3
"45",2
"46",2
"47",1
"48",1
"49",3
"50",2
"51",3
"52",2
"53",2
"54",1
"55",2
"56",1
"57",2
"58",1
"59",1
"60",1
"61",2
"62",3
"63",3
"64",1
"65",2
"66",1
"67",1
"68",2
"69",2
"70",3
"71",1
"72",1
"73",3
"74",1
"75",3
"76",1
"77",2
"78",1
"79",1
"80",1
"81",2
"82",2
"83",2
"84",2
"85",1
"86",2
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",2
"95",2
"96",2
"97",3
"98",2
"99",1
"100",3
"101",1
"102",2
"103",2
"104",3
"105",2
"106",3
"107",1
"108",1
"109",3
"110",1
"111",1
"112",1
"113",1
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",1
"123",2
"124",2
"125",3
"126",1
"127",1
"128",1
"129",2
"130",1
"131",1
"132",1
"133",2
"134",1
"135",2
"136",2
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",2
"144",2
"145",1
"146",2
"147",1
"148",1
"149",2
"150",2
"151",3
"152",1
"153",2
"154",1
"155",1
"156",2
"157",3
"158",1
"159",2
"160",1
"161",2
"162",1
"163",1
"164",1
"165",1
"166",1
"167",2
"168",2
"169",3
"170",2
"171",1
"172",3
"173",3
"174",2
"175",1
"176",2
"177",1
"178",3
"179",2
"180",1
"181",1
"182",1
"183",1
"184",2
"185",1
"186",1
"187",3
"188",1
"189",1
"190",2
"191",1
"192",2
"193",3
"194",3
"195",1
"196",1
"197",1
"198",1
"199",1
"200",3
"201",2
"202",1
"203",1
"204",1
"205",2
"206",1
"207",1
"208",2
"209",1
"210",2
"211",3
"212",1
"213",1
"214",1
"215",3
"216",3
"217",2
