K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
4,0.8525474325,0.8478453335,0.9936104028,,,
1,0.8500776653,0.8243885343,0.9652403699,0.8650950499,0.9974357827,
14,0.8432657532,0.80141653,0.8582640867,0.9430876831,,
16,0.8416729191,0.8314651392,0.8540680804,,,
15,0.8391457378,0.8297787098,0.8503104784,,,
18,0.8384905842,0.8259037325,0.8543552619,,,
6,0.8384356824,0.8227920101,0.8345260581,0.9831305954,,
17,0.8384214558,0.8283323248,0.8506725434,,,
19,0.8377697012,0.8250922275,0.8537486003,,,
20,0.8373148634,0.8245481339,0.8534062621,,,
22,0.8372669902,0.8264887041,0.8503549091,,,
21,0.8362843809,0.8233517894,0.8525848348,,,
7,0.8345797493,0.8235376726,0.8252805486,0.9823652386,,
9,0.8338607719,0.8218722244,0.8257738468,0.980940729,,
10,0.8337128673,0.8181617543,0.8302500374,0.9797667169,,
8,0.8331893799,0.8196884855,0.9819740941,0.826539481,,
11,0.832918711,0.820212063,0.8259586083,0.9789916266,,
23,0.831097651,0.8177747943,0.8478900016,,,
12,0.8307134381,0.8170776513,0.8246120986,0.9783820907,,
24,0.8292897574,0.8149169364,0.8477474855,,,
25,0.828238363,0.8120693587,0.8497970353,,,
13,0.827211077,0.8094279412,0.826122516,0.9777442789,,
26,0.8259993877,0.8103499099,0.8464768958,,,
27,0.8245275917,0.8086818456,0.845261919,,,
28,0.82416631,0.8053975976,0.8501537579,,,
29,0.8227815401,0.8058434525,0.8453656568,,,
30,0.82025888,0.8002140426,0.8485443727,,,
33,0.8181970642,0.7912497744,0.8293619552,0.9720927859,,
31,0.8179200317,0.800615345,0.8409929473,,,
32,0.8172629108,0.7998882809,0.840429084,,,
34,0.8172359331,0.7902916836,0.8282696302,0.9719217401,,
3,0.8167559826,0.8093108914,0.9888203124,,,
37,0.8165785262,0.7873695111,0.8310703614,0.9716611644,,
35,0.8165311308,0.7893250849,0.9718002189,0.8278200283,,
38,0.8162023335,0.7865942718,0.8312028203,0.9714952875,,
36,0.816164199,0.7886369996,0.9716659888,0.8278438551,,
39,0.8153210205,0.7853844367,0.971267767,0.8306620189,,
40,0.814667817,0.7846834789,0.8300009394,0.9710620345,,
41,0.8137677273,0.7832393744,0.9709569828,0.8297115379,,
42,0.8127794001,0.7816543127,0.9708375594,0.8293935977,,
43,0.812439409,0.781060417,0.8293418327,0.9708489538,,
44,0.8118536085,0.780243629,0.9706791684,0.8290025592,,
45,0.8111020006,0.7789733607,0.8288529312,0.9705642032,,
46,0.8104756361,0.7782167912,0.9703819649,0.8283314063,,
48,0.8104400285,0.777160463,0.8303355965,0.9701447032,,
52,0.8102571478,0.7734557077,0.8365423305,0.9698644804,,
47,0.810125146,0.7779329383,0.8278547813,0.9702494077,,
51,0.8099991064,0.7748154081,0.8331837924,0.9699524255,,
53,0.8099525965,0.7733452548,0.835931909,0.9697096013,,
49,0.8092717291,0.7770285086,0.8269597089,0.9700781958,,
54,0.8092212821,0.772410125,0.8353901659,0.9696013898,,
55,0.8089554442,0.7720468026,0.8352308697,0.9695394913,,
50,0.8085712643,0.7758749394,0.8267875595,0.9699190235,,
56,0.8082462702,0.7709081213,0.8350357623,0.9694641291,,
57,0.8079344923,0.7705647123,0.834728614,0.969396028,,
58,0.8075189411,0.7696794271,0.8349366569,0.9693097468,,
59,0.8070281745,0.7692990468,0.8342149915,0.9692417101,,
62,0.8069412065,0.7682402904,0.836370649,0.9690552467,,
60,0.8066627778,0.7690305968,0.8336790786,0.9690562605,,
63,0.8066166123,0.7677377213,0.8362657289,0.9689822016,,
61,0.8064150593,0.7687793483,0.8333980415,0.9690363311,,
64,0.8061196846,0.7668654133,0.8362521561,0.968898554,,
65,0.8058397003,0.7665823107,0.8359360107,0.9688573209,,
66,0.8055986283,0.7663591896,0.8356383391,0.9687926143,,
67,0.8053523228,0.7660943748,0.8353934773,0.9686978251,,
68,0.805031548,0.7655348084,0.9686884295,0.8353719036,,
69,0.8045224422,0.7646322648,0.9686808835,0.8353577261,,
70,0.8041251333,0.7641212729,0.9686257971,0.8350697409,,
71,0.803847322,0.7637961275,0.8348211883,0.9685857148,,
72,0.8035353395,0.7633797954,0.9685301815,0.8346194012,,
73,0.8030701634,0.7629583825,0.9684028157,0.8340319726,,
74,0.8027520364,0.7625127911,0.9683249799,0.833860908,,
75,0.8024969249,0.7622805315,0.8335386148,0.9682658553,,
76,0.8024576387,0.762211461,0.9682472046,0.8335397557,,
77,0.8020964505,0.7617124178,0.9682342326,0.8333225359,,
78,0.8015401887,0.7611095534,0.9681933157,0.8327470556,,
79,0.8012410751,0.7607496499,0.9681619125,0.8324919376,,
5,0.8010783029,0.7471182038,0.8165859562,0.9299185254,0.984589898,
80,0.8010472314,0.7605986702,0.8322266381,0.9680161286,,
81,0.8009511978,0.7605088298,0.9680074963,0.8321065434,,
82,0.800615573,0.7600628979,0.9679353951,0.831888697,,
83,0.8002047606,0.7593660863,0.9678727684,0.8318404615,,
84,0.7999578142,0.7591382163,0.9677906929,0.8315372171,,
85,0.7998301849,0.7589345874,0.9677453454,0.8315076857,,
86,0.7993933118,0.7585150789,0.9676419612,0.830988252,,
87,0.7992342505,0.7583779695,0.9676068246,0.8307756402,,
88,0.7992234338,0.7584067478,0.9675797829,0.8307091669,,
89,0.7990157911,0.7579991193,0.9675448845,0.8307671322,,
90,0.7988989656,0.7578509339,0.96748501,0.8306868584,,
91,0.7987156658,0.7576424788,0.9674203077,0.8305204296,,
92,0.7984467542,0.7573106078,0.9673980555,0.8303023091,,
93,0.7981610673,0.7570371698,0.9673398573,0.8299597081,,
94,0.798126847,0.7569388964,0.9673122982,0.830018868,,
95,0.7979096536,0.7565921366,0.9672809776,0.8299611295,,
96,0.7978210159,0.7564973738,0.967255759,0.8298707025,,
97,0.7976467754,0.7563116694,0.9671573907,0.8297004244,,
98,0.7975534212,0.7562466618,0.9671525979,0.8295501214,,
99,0.7974222053,0.7560768377,0.9671282017,0.8294576385,,
100,0.7973745919,0.756139048,0.9671103246,0.8292428914,,
