"","x"
"1",3
"2",3
"3",1
"4",3
"5",1
"6",3
"7",1
"8",2
"9",1
"10",3
"11",1
"12",3
"13",3
"14",3
"15",3
"16",3
"17",3
"18",2
"19",3
"20",2
"21",3
"22",2
"23",3
"24",1
"25",1
"26",1
"27",1
"28",1
"29",2
"30",3
"31",3
"32",1
"33",3
"34",3
"35",3
"36",3
"37",1
"38",1
"39",3
"40",1
"41",1
"42",3
"43",1
"44",2
"45",3
"46",3
"47",3
"48",1
"49",1
"50",3
"51",1
"52",3
"53",3
"54",1
"55",3
"56",1
"57",3
"58",1
"59",1
"60",3
"61",3
"62",1
"63",1
"64",1
"65",3
"66",3
"67",1
"68",3
"69",3
"70",1
"71",1
"72",1
"73",1
"74",3
"75",2
"76",1
"77",3
"78",1
"79",3
"80",1
"81",3
"82",3
"83",3
"84",3
"85",1
"86",3
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",3
"95",3
"96",3
"97",1
"98",3
"99",1
"100",1
"101",1
"102",3
"103",3
"104",1
"105",3
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",3
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",1
"123",3
"124",3
"125",2
"126",1
"127",1
"128",1
"129",3
"130",1
"131",1
"132",1
"133",3
"134",1
"135",3
"136",3
"137",1
"138",1
"139",3
"140",3
"141",1
"142",3
"143",3
"144",3
"145",1
"146",3
"147",1
"148",1
"149",3
"150",3
"151",2
"152",1
"153",3
"154",1
"155",1
"156",3
"157",2
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",3
"166",1
"167",3
"168",3
"169",1
"170",3
"171",1
"172",1
"173",1
"174",3
"175",1
"176",3
"177",1
"178",1
"179",3
"180",1
"181",1
"182",1
"183",1
"184",3
"185",1
"186",1
"187",1
"188",1
"189",1
"190",3
"191",3
"192",3
"193",2
"194",2
"195",1
"196",1
"197",1
"198",1
"199",1
"200",2
"201",3
"202",1
"203",1
"204",1
"205",3
"206",1
"207",1
"208",3
"209",1
"210",3
"211",2
"212",1
"213",1
"214",1
"215",1
"216",1
"217",3
