"","labels"
"DU0098",2
"DU0099",1
"TT0040",1
"TT0041",1
"TT0046",1
"TT0047",1
"TT0044",1
"TT0045",1
"KL0014",1
"DU0091",2
"TT0048",1
"DU0093",2
"DU0094",2
"DU0095",2
"DU0096",2
"DU0097",2
"DU0010",2
"DU0011",1
"DU0012",1
"DU0013",1
"DU0014",1
"DU0015",1
"DU0016",1
"DU0017",1
"DU0018",2
"DU0019",2
"KL0006",1
"KL0005",1
"KL0004",1
"DU0087",2
"DU0085",2
"DU0084",2
"DU0083",2
"DU0082",2
"DU0081",2
"DU0080",2
"DU0088",1
"TT0050",1
"KL0009",1
"KL0008",1
"TT0055",1
"TT0054",1
"TT0057",1
"TT0056",1
"KL0003",1
"KL0002",1
"KL0001",1
"CH0050",1
"CH0051",2
"CH0052",1
"CH0053",1
"TT0042",1
"DU0009",1
"DU0008",1
"DU0007",1
"DU0006",2
"DU0005",1
"DU0004",1
"DU0003",1
"DU0002",1
"DU0001",1
"CH0010",1
"CH0012",1
"CH0013",1
"DU0090",2
"CH0049",1
"CH0043",1
"CH0041",1
"CH0040",1
"CH0047",1
"CH0046",2
"TT0062",1
"CH0044",1
"DU0100",1
"DU0078",2
"TT0049",1
"DU0072",2
"DU0073",2
"DU0070",2
"DU0071",2
"DU0076",2
"DU0077",2
"DU0074",2
"DU0075",2
"KL0012",1
"DU0038",1
"SG0009",1
"SG0001",1
"SG0002",1
"SG0003",1
"SG0004",1
"SG0006",1
"SG0007",1
"DU0069",2
"DU0068",2
"DU0039",1
"CH0038",1
"CH0039",1
"CH0036",1
"CH0037",1
"CH0034",1
"CH0035",1
"DU0065",2
"CH0033",1
"DU0067",2
"CH0031",1
"TT0034",1
"CH0024",1
"CH0027",1
"SG0017",1
"TT0043",1
"SG0012",1
"SG0010",1
"SG0018",1
"DU0054",1
"DU0055",2
"DU0056",2
"DU0057",2
"DU0050",2
"DU0051",2
"DU0052",2
"DU0053",2
"DU0028",1
"DU0058",2
"DU0059",2
"CH0028",1
"TT0008",1
"TT0009",1
"TT0006",1
"TT0007",1
"TT0004",2
"TT0005",1
"CH0021",1
"CH0020",1
"CH0023",1
"TT0001",1
"TT0058",1
"DU0043",1
"DU0042",1
"DU0041",1
"DU0040",1
"DU0047",1
"DU0046",1
"DU0045",1
"DU0044",1
"DU0049",2
"DU0048",1
"CH0019",1
"TT0019",1
"TT0018",1
"TT0015",1
"TT0014",1
"TT0017",1
"TT0016",1
"CH0014",1
"CH0015",1
"CH0016",1
"TT0012",1
"DU0061",2
"DU0060",2
"DU0063",2
"KL0010",1
"CH0002",1
"TT0059",1
"DU0062",2
"SG0013",1
"DU0064",2
"TT0061",1
"CH0006",1
"CH0005",2
"CH0004",1
"CH0003",1
"CH0030",1
"CH0001",1
"DU0066",2
"DU0036",1
"DU0037",1
"DU0034",1
"DU0035",1
"DU0032",1
"DU0033",1
"DU0030",2
"DU0031",1
"TT0020",1
"TT0021",1
"TT0022",1
"TT0023",1
"TT0024",1
"TT0025",1
"TT0026",1
"TT0027",1
"TT0063",1
"TT0028",1
"TT0029",1
"TT0037",1
"TT0036",1
"TT0035",1
"DU0079",2
"TT0033",1
"TT0032",1
"TT0030",1
"TT0039",1
"TT0038",1
"DU0025",2
"DU0024",1
"DU0027",2
"DU0026",1
"DU0021",1
"DU0020",1
"DU0023",1
"DU0022",2
"DU0029",1
"TT0053",1
"TT0052",1
"AL0003",1
"AL0002",1
"AL0004",1
