K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
1,0.8129519821,0.7762236384,0.964991191,0.8380957603,,
9,0.7986593929,0.7742008223,0.8026572486,0.9744397026,,
10,0.7978790425,0.770609953,0.8068078152,0.9735081051,,
8,0.7969144385,0.781421946,0.7881945241,0.9755988001,,
7,0.7966638568,0.7860645249,0.7823573099,0.9765694752,,
11,0.7957380728,0.769361796,0.8032438363,0.9724816989,,
13,0.7919635752,0.762736481,0.8035278951,0.9710079564,,
12,0.7911625401,0.762441363,0.8013135678,0.9716097933,,
17,0.788571644,0.7750394909,0.8050035442,,,
14,0.7884696724,0.7576796984,0.8023469155,0.9701115081,,
15,0.7879291889,0.7595605355,0.7974195667,0.9694162587,,
16,0.7869987236,0.7599018321,0.7942181879,0.9691031797,,
18,0.7868723943,0.7745765337,0.8015280666,,,
19,0.7865451801,0.7729442338,0.803060615,,,
20,0.7858212611,0.7709982988,0.8041589464,,,
21,0.7844100625,0.7668983048,0.806898846,,,
22,0.7840352623,0.7701344245,0.8009148511,,,
23,0.7823300763,0.7647737228,0.8048761303,,,
24,0.7811497303,0.7634383718,0.8038948434,,,
25,0.7801539503,0.7623372065,0.8030344002,,,
26,0.7777199111,0.7622503061,0.7968575668,,,
27,0.7776419191,0.7634754965,0.7948440037,,,
28,0.7769088619,0.7626525498,0.7942200982,,,
29,0.7753009276,0.7622516349,0.7908546299,,,
32,0.7745474306,0.7560038759,0.7983612587,,,
30,0.774256857,0.7611016923,0.7899367503,,,
31,0.774008034,0.7554114812,0.7978899228,,,
33,0.7718308883,0.7518467208,0.7979803841,,,
34,0.7700414907,0.7511948284,0.7942445727,,,
35,0.7681026592,0.7467828502,0.7965290712,,,
36,0.7655552118,0.7394207961,0.8031417873,,,
37,0.7653169853,0.7476428393,0.7875937736,,,
38,0.7646799166,0.7469521437,0.787024297,,,
39,0.7643065252,0.7414048025,0.7954229963,,,
5,0.7633384382,0.7125947796,0.7935164341,0.9808358735,0.9721800331,
43,0.7625432515,0.7256145175,0.7771627169,0.9526106622,,
40,0.7625187608,0.7382220805,0.796160318,,,
48,0.7623148108,0.7296804982,0.7697045466,0.952151096,,
44,0.7619193419,0.7245923536,0.7770070508,0.9523865531,,
60,0.7616199462,0.7314387034,0.767799401,0.9603062396,,
49,0.7615783737,0.7333858199,0.7621631405,0.9520763195,,
50,0.7614762045,0.7348088977,0.7599309716,0.9520323208,,
61,0.76139908,0.7344778385,0.7630162931,0.960141744,,
64,0.7613846541,0.7292653017,0.7703448446,0.9600982346,,
65,0.7613051638,0.7290204493,0.77046387,0.9600512907,,
63,0.7612427735,0.7308395168,0.7676691568,0.9600666461,,
66,0.7611679191,0.7289127077,0.7702817022,0.9599700198,,
41,0.7609886533,0.7377146416,0.7926109519,,,
58,0.7609798857,0.7305382386,0.9557866283,0.7660010032,,
67,0.7609730522,0.7286129894,0.7701880534,0.9599560469,,
52,0.7609706772,0.7341230495,0.7595904293,0.9518065662,,
68,0.7608200181,0.7282979869,0.7702195176,0.9598995213,,
53,0.7607578348,0.7336433409,0.7596856502,0.9516403866,,
62,0.7606781061,0.733756957,0.7622090551,0.9599992523,,
59,0.7606169198,0.7299880007,0.7658187583,0.9557130999,,
51,0.7605233862,0.7373976558,0.7542722272,0.951902267,,
69,0.7605190383,0.7275468973,0.770430517,0.959871554,,
70,0.7602362381,0.7273571,0.7699884477,0.9598799813,,
71,0.76004103,0.7269553554,0.770024938,0.9598310248,,
54,0.75988841,0.7361992032,0.7542438767,0.9514716137,,
72,0.7598216608,0.7267004955,0.7698218551,0.9597897199,,
55,0.7597597417,0.7342683096,0.7563881833,0.9514240919,,
56,0.75966882,0.7321523553,0.7589376674,0.9513288633,,
73,0.759543035,0.7263925086,0.769552079,0.9596884608,,
74,0.7594001982,0.7261345923,0.7695313309,0.9596726823,,
42,0.759221193,0.7382564101,0.7866538344,,,
75,0.7591440566,0.7259206607,0.7691963382,0.9595913932,,
78,0.7591425924,0.7243777047,0.7715915883,0.9597156411,,
57,0.7591358811,0.7335915912,0.7557564917,0.9512025386,,
76,0.7590237682,0.7257358893,0.7691378642,0.9595851759,,
209,0.7589967885,0.7135403447,0.789206829,0.9517109424,,
210,0.7589923587,0.7135337657,0.7892034595,0.9517174645,,
208,0.7589887221,0.7135292549,0.7892017814,0.9517106456,,
207,0.7589690648,0.7135085825,0.7891798927,0.9517098227,,
181,0.75896538,0.7137339141,0.7888244441,0.9517330208,,
182,0.7589644812,0.7137380365,0.7888202957,0.9517103963,,
178,0.7589623844,0.7136725241,0.7889105533,0.9517261078,,
183,0.7589570575,0.7136884019,0.9517115567,0.7888749991,,
206,0.7589565919,0.7134917797,0.7891721853,0.9517062667,,
179,0.7589439833,0.7135951531,0.7889762214,0.9517333208,,
