"","x"
"1",2
"2",2
"3",1
"4",2
"5",1
"6",1
"7",1
"8",1
"9",1
"10",2
"11",1
"12",2
"13",2
"14",2
"15",2
"16",2
"17",2
"18",1
"19",1
"20",1
"21",2
"22",1
"23",2
"24",1
"25",2
"26",2
"27",1
"28",1
"29",1
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",1
"39",1
"40",1
"41",1
"42",2
"43",1
"44",2
"45",1
"46",2
"47",1
"48",1
"49",1
"50",2
"51",1
"52",2
"53",2
"54",1
"55",2
"56",1
"57",2
"58",2
"59",1
"60",2
"61",2
"62",1
"63",1
"64",1
"65",2
"66",1
"67",1
"68",2
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",2
"76",1
"77",2
"78",1
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",1
"86",2
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",2
"95",2
"96",2
"97",1
"98",2
"99",1
"100",1
"101",1
"102",2
"103",2
"104",1
"105",2
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",2
"115",2
"116",2
"117",2
"118",2
"119",2
"120",2
"121",2
"122",2
"123",2
"124",2
"125",2
"126",1
"127",1
"128",1
"129",2
"130",1
"131",1
"132",1
"133",2
"134",1
"135",2
"136",2
"137",1
"138",1
"139",1
"140",1
"141",1
"142",2
"143",2
"144",2
"145",1
"146",2
"147",1
"148",1
"149",2
"150",2
"151",1
"152",1
"153",2
"154",1
"155",1
"156",2
"157",1
"158",1
"159",2
"160",2
"161",2
"162",1
"163",1
"164",1
"165",2
"166",1
"167",2
"168",2
"169",1
"170",2
"171",1
"172",1
"173",1
"174",2
"175",2
"176",2
"177",1
"178",1
"179",2
"180",1
"181",1
"182",2
"183",1
"184",2
"185",1
"186",1
"187",1
"188",1
"189",1
"190",2
"191",1
"192",2
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",2
"202",1
"203",1
"204",1
"205",2
"206",1
"207",1
"208",2
"209",1
"210",2
"211",2
"212",1
"213",1
"214",1
"215",1
"216",1
"217",2
