"","labels"
"DU0098",2
"DU0099",3
"TT0040",2
"TT0041",2
"TT0046",2
"TT0047",2
"TT0044",2
"TT0045",1
"KL0014",2
"DU0091",3
"TT0048",2
"DU0093",3
"DU0094",3
"DU0095",3
"DU0096",3
"DU0097",3
"DU0010",3
"DU0011",2
"DU0012",2
"DU0013",2
"DU0014",2
"DU0015",2
"DU0016",3
"DU0017",2
"DU0018",2
"DU0019",3
"KL0006",1
"KL0005",2
"KL0004",2
"DU0087",3
"DU0085",3
"DU0084",3
"DU0083",2
"DU0082",3
"DU0081",3
"DU0080",3
"DU0088",2
"TT0050",2
"KL0009",1
"KL0008",2
"TT0055",2
"TT0054",2
"TT0057",2
"TT0056",2
"KL0003",2
"KL0002",2
"KL0001",2
"CH0050",3
"CH0051",3
"CH0052",2
"CH0053",2
"TT0042",2
"DU0009",3
"DU0008",2
"DU0007",2
"DU0006",2
"DU0005",2
"DU0004",2
"DU0003",2
"DU0002",3
"DU0001",2
"CH0010",1
"CH0012",1
"CH0013",3
"DU0090",3
"CH0049",1
"CH0043",3
"CH0041",2
"CH0040",2
"CH0047",2
"CH0046",2
"TT0062",2
"CH0044",2
"DU0100",1
"DU0078",3
"TT0049",3
"DU0072",3
"DU0073",3
"DU0070",3
"DU0071",3
"DU0076",3
"DU0077",3
"DU0074",3
"DU0075",2
"KL0012",1
"DU0038",3
"SG0009",2
"SG0001",2
"SG0002",3
"SG0003",1
"SG0004",2
"SG0006",3
"SG0007",2
"DU0069",3
"DU0068",2
"DU0039",3
"CH0038",2
"CH0039",2
"CH0036",2
"CH0037",2
"CH0034",1
"CH0035",2
"DU0065",3
"CH0033",2
"DU0067",3
"CH0031",2
"TT0034",2
"CH0024",1
"CH0027",2
"SG0017",2
"TT0043",2
"SG0012",3
"SG0010",2
"SG0018",2
"DU0054",1
"DU0055",3
"DU0056",3
"DU0057",3
"DU0050",3
"DU0051",3
"DU0052",2
"DU0053",3
"DU0028",2
"DU0058",3
"DU0059",3
"CH0028",2
"TT0008",2
"TT0009",1
"TT0006",2
"TT0007",2
"TT0004",2
"TT0005",2
"CH0021",2
"CH0020",1
"CH0023",2
"TT0001",2
"TT0058",3
"DU0043",2
"DU0042",3
"DU0041",2
"DU0040",3
"DU0047",1
"DU0046",2
"DU0045",3
"DU0044",3
"DU0049",3
"DU0048",1
"CH0019",1
"TT0019",2
"TT0018",2
"TT0015",2
"TT0014",2
"TT0017",2
"TT0016",3
"CH0014",1
"CH0015",2
"CH0016",2
"TT0012",2
"DU0061",3
"DU0060",2
"DU0063",3
"KL0010",2
"CH0002",2
"TT0059",2
"DU0062",3
"SG0013",2
"DU0064",3
"TT0061",2
"CH0006",2
"CH0005",2
"CH0004",3
"CH0003",2
"CH0030",2
"CH0001",2
"DU0066",3
"DU0036",2
"DU0037",2
"DU0034",2
"DU0035",1
"DU0032",1
"DU0033",3
"DU0030",3
"DU0031",2
"TT0020",2
"TT0021",2
"TT0022",3
"TT0023",2
"TT0024",1
"TT0025",2
"TT0026",1
"TT0027",2
"TT0063",2
"TT0028",2
"TT0029",2
"TT0037",2
"TT0036",1
"TT0035",3
"DU0079",2
"TT0033",2
"TT0032",2
"TT0030",2
"TT0039",2
"TT0038",2
"DU0025",2
"DU0024",2
"DU0027",3
"DU0026",3
"DU0021",2
"DU0020",3
"DU0023",2
"DU0022",3
"DU0029",2
"TT0053",2
"TT0052",2
"AL0003",2
"AL0002",2
"AL0004",2
