"","DU0098","DU0099","TT0040","TT0041","TT0046","TT0047","TT0044","TT0045","KL0014","DU0091","TT0048","DU0093","DU0094","DU0095","DU0096","DU0097","DU0010","DU0011","DU0012","DU0013","DU0014","DU0015","DU0016","DU0017","DU0018","DU0019","KL0006","KL0005","KL0004","DU0087","DU0085","DU0084","DU0083","DU0082","DU0081","DU0080","DU0088","TT0050","KL0009","KL0008","TT0055","TT0054","TT0057","TT0056","KL0003","KL0002","KL0001","CH0050","CH0051","CH0052","CH0053","TT0042","DU0009","DU0008","DU0007","DU0006","DU0005","DU0004","DU0003","DU0002","DU0001","CH0010","CH0012","CH0013","DU0090","CH0049","CH0043","CH0041","CH0040","CH0047","CH0046","TT0062","CH0044","DU0100","DU0078","TT0049","DU0072","DU0073","DU0070","DU0071","DU0076","DU0077","DU0074","DU0075","KL0012","DU0038","SG0009","SG0001","SG0002","SG0003","SG0004","SG0006","SG0007","DU0069","DU0068","DU0039","CH0038","CH0039","CH0036","CH0037","CH0034","CH0035","DU0065","CH0033","DU0067","CH0031","TT0034","CH0024","CH0027","SG0017","TT0043","SG0012","SG0010","SG0018","DU0054","DU0055","DU0056","DU0057","DU0050","DU0051","DU0052","DU0053","DU0028","DU0058","DU0059","CH0028","TT0008","TT0009","TT0006","TT0007","TT0004","TT0005","CH0021","CH0020","CH0023","TT0001","TT0058","DU0043","DU0042","DU0041","DU0040","DU0047","DU0046","DU0045","DU0044","DU0049","DU0048","CH0019","TT0019","TT0018","TT0015","TT0014","TT0017","TT0016","CH0014","CH0015","CH0016","TT0012","DU0061","DU0060","DU0063","KL0010","CH0002","TT0059","DU0062","SG0013","DU0064","TT0061","CH0006","CH0005","CH0004","CH0003","CH0030","CH0001","DU0066","DU0036","DU0037","DU0034","DU0035","DU0032","DU0033","DU0030","DU0031","TT0020","TT0021","TT0022","TT0023","TT0024","TT0025","TT0026","TT0027","TT0063","TT0028","TT0029","TT0037","TT0036","TT0035","DU0079","TT0033","TT0032","TT0030","TT0039","TT0038","DU0025","DU0024","DU0027","DU0026","DU0021","DU0020","DU0023","DU0022","DU0029","TT0053","TT0052","AL0003","AL0002","AL0004"
"DU0098",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"DU0099",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"TT0040",0,0,1,0,0.613754737308353,0,0.369285897962578,0.000153247533815404,0.250110551129534,0,0.482327049300962,0,0,0,0,0,0,0,0.742335289495317,0,0,0,0,0.441390301248515,0.638121634348655,0.580840812788259,0.391398455553777,0.611944552226226,3.25156409719529e-06,0,0,0.214500260970168,0,0,0,0,0.257650245255702,0.408828691448327,0.946899871598776,0.39875611165307,0.558440840110801,0,0.883929408293866,0.000528334418197995,0,0,0.919687852528595,0.311048118544679,0.0285029242112579,0,0.132769856459939,0,0,0.699501315157685,0,0.867691954465941,0,0.767741047594777,0.563866507474768,0,0,0.0941771360143933,0.0499394651551197,0.147887199428354,0,0.877717881061729,0.192400766639814,0,0,0.068508751462576,0.353464085509363,0.491424392835049,0.0701077883199546,0,7.13173533128941e-05,0.865286599021897,0,0,0.883132210009414,0.460294190424025,0,0,0,0,0.607297794480038,0,0.874092172889072,0.795717787553779,0.411301443931395,0.412116074708405,0.452262876668157,0.51104430255303,0.557262993078064,2.46154553407152e-08,0,0,0.0525830017294027,0,0.258243189859225,0.126874559840435,0.368242417348632,0,0,0.091024916315893,0,0.099617159849608,0.79600469567803,0.321670419154998,0.087848899224314,0.761692246055538,0.430016785475255,0,0.902225840436064,0,0,0,0,0,0,0,0,0.607313140902852,0,0,0,0.439156703530356,0.271570422967924,0.553051723204206,0,0.673837759156977,0.380938746549012,0.757829553535192,0,0.30763602534776,0,0,0.496099311400558,0.986995753041214,0.971683594577387,0.869211656399716,0.9396828567163,0,0,0,0.904927240263536,0,0,0.09693301827335,0,0,0.000138971818126166,0.769144945857833,0,0.525169972994698,0.414389544143875,0,1.47188120669384e-06,0.540635189420123,0.182577166827514,0.752514777177592,0.787425454569814,0.639540523779904,0.322296220331214,0.969101593630083,0.959956988546088,0.196847481387204,0,0,0.0615820985718689,0,0.238580774551375,0.0315341991114609,0.0779838190889252,0,0.25308844136613,0,0.841198166087399,0.136505223260758,0,0.824667259839479,0.801614708848021,0.805665144562954,0.573743399004598,0,0.939311380120566,0.699667684080347,0.0773245023569678,0.486966464638894,0,0,0.899091160304814,0,9.09188463893429e-06,0.000385534489572126,0.213181638530415,0.842437532423678,0.559104088387669,0.585921193397378,0.69293389017402,6.84548484941594e-06,0,0.649938690298285,0.977176172869558,0.63262145986466,0,0.404267419454071,0.248067977619489,0,0.999568115601761,0,0.00126763805602603,0.87051610813824,0.492390693494168,0.637271028451669,0.0750768540660931,0.101490454716331,0
"TT0041",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"TT0046",0,0,0.613754737308353,0,1,0,0.182252401009067,6.78526510905497e-05,0.119030417136215,0,0.24670263429972,0,0,0,0,0,0,0,0.857208593783669,0,0,0,0,0.780214586161419,0.971673849081748,0.306820154308702,0.194501332425639,0.326627450237786,1.43961875298526e-06,0,0,0.101005831281743,0,0,0,0,0.122896157038907,0.204276613135149,0.659879097197917,0.19861464866024,0.933312549142182,0,0.717144428303017,0.000283277912327518,0,0,0.684272973536586,0.587534495447394,0.0632431649707806,0,0.276754124206902,0,0,0.384674536730116,0,0.732386852972147,0,0.432413368655314,0.296182471408037,0,0,0.200809940310736,0.109357941378582,0.274901180505229,0,0.722951614669387,0.374825177341436,0,0,0.148340473105644,0.565791682167276,0.847765479904576,0.151656527957676,0,7.13384158131936e-05,0.504807402074723,0,0,0.717888100466241,0.233775232616258,0,0,0,0,0.323642073611049,0,0.726354844276859,0.452659363269431,0.73796455579871,0.206132276888352,0.229108161336456,0.263829803483112,0.292076277242718,1.08983978508448e-08,0,0,0.114961359925293,0,0.501735705187814,0.265374204041539,0.675242509135141,0,0,0.194452755994042,0,0.211725190362329,0.802161941846581,0.604220939956493,0.188023406699645,0.428088697084909,0.216304652583387,0,0.700207283094562,0,0,0,0,0,0,0,0,0.323651917827512,0,0,0,0.724541851556208,0.130079456728894,0.28946695560128,0,0.367299262498373,0.694021697528043,0.841058216317762,0,0.582134817696719,0,0,0.254876817698157,0.624874794588279,0.63811315831498,0.730951737125824,0.60503538228162,0,0,0,0.535730601289986,0,0,0.206348341553702,0,0,6.58042916426016e-05,0.829397757408216,0,0.891519891794509,0.742359230776442,0,1.47188576260504e-06,0.281815579943187,0.0851679049259939,0.421562365060551,0.44661626744993,0.344550692410136,0.605198218205293,0.64036108225436,0.648359122031434,0.0922109575611688,0,0,0.133901906217786,0,0.468520929080224,0.0697215558253598,0.167896868209959,0,0.120555148369221,0,0.486452110926309,0.283924404051556,0,0.474040717301714,0.456978661933847,0.459956074309665,0.302357683276207,0,0.563302606495694,0.384788182228113,0.166543247871728,0.2494481368453,0,0,0.703091397570235,0,9.0919900487263e-06,0.000385666653852201,0.424542597019075,0.487388646739817,0.293219306811857,0.966867353959682,0.91016631822356,3.03081776531489e-06,0,0.958158705568155,0.633346293821144,0.34002541633055,0,0.727903604326268,0.117986155795141,0,0.614122252164979,0,0.000561440154134507,0.508835242445168,0.252668506383432,0.343064036070571,0.161920618020644,0.215467641697916,0
"TT0047",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
"TT0044",0,0,0.369285897962578,0,0.182252401009067,0,1,0.000676542279090531,0.773875474830067,0,0.832157742171334,0,0,0,0,0,0,0,0.235811564283234,0,0,0,0,0.120532751418333,0.191859064695534,0.712416836214521,0.964111521626108,0.678703329011862,9.64773944911457e-06,0,0,0.693235156484546,0,0,0,0,0.790075501506071,0.936947414302251,0.338345248706352,0.952527656587742,0.161302085251812,0,0.304156193613072,0.000527757804443474,0,0,0.323253662177391,0.0800719052691339,0.0065266243515214,0,0.0316941504843806,0,0,0.592563683751413,0,0.295746763905879,0,0.533157571433845,0.7315849838831,0,0,0.0221332340192402,0.011531859097433,0.038590827743781,0,0.300920337714716,0.0483015190414607,0,0,0.0159365300386112,0.107098507012135,0.137402177716323,0.0163188658663759,0,7.1188515563203e-05,0.457943085331522,0,0,0.303739577368491,0.862025012982308,0,0,0,0,0.683628258792903,0,0.299042404736549,0.510499004626557,0.110761882710678,0.931930594087138,0.873227488784972,0.795030925593604,0.739195822917555,4.95829115543245e-08,0,0,0.0121549685392331,0,0.0649701581414726,0.0302142332632708,0.0972404543168093,0,0,0.0213653754768813,0,0.0234629658202749,0.260443890695579,0.083194904501702,0.0205936802451058,0.538180271201296,0.905182590106886,0,0.313826378507924,0,0,0,0,0,0,0,0,0.683611930523327,0,0,0,0.12861786702325,0.444491777593642,0.744095599054557,0,0.611774861021794,0.101172454999173,0.24277433813377,0,0.0790749168258706,0,0,0.737501605922478,0.361518452359033,0.352532966426061,0.296527073163592,0.349278233294784,0,0,0,0.430190770762938,0,0,0.0228061413108942,0,0,0.000138936551185687,0.247934274406308,0,0.149242441173025,0.111752221892069,0,1.47185328036592e-06,0.758755436436614,0.61458844678357,0.50664864253077,0.514757013328248,0.650225156637891,0.0833798069893698,0.351034569252537,0.345766018450484,0.650538497827863,0,0,0.0142859353714233,0,0.0595205128556261,0.00723697925888267,0.0182091708744833,0,0.780308670696288,0,0.475560643141738,0.0326355403664647,0,0.487999105319768,0.498508203386919,0.502662190454265,0.500348058241312,0,0.407287148206308,0.582744049939817,0.0180504747332205,0.779546382537577,0,0,0.312154715659372,0,9.09123854941907e-06,0.000384726323462758,0.0526145908470238,0.474639703519945,0.737065051230637,0.171565477353997,0.214372913293663,3.02283359008282e-05,0,0.196605040349944,0.355736444203493,0.657244211124375,0,0.108516572255614,0.769436285995551,0,0.369025888123774,0,0.00155736990761834,0.45419539211962,0.818921901883872,0.652518695083205,0.0175100970081751,0.0239222126286933,0
"TT0045",0,0,0.000153247533815404,0,6.78526510905497e-05,0,0.000676542279090531,1,0.000793948544807299,0,0.000482123881023311,0,0,0,0,0.000312038029101069,0,0.0212994959548087,9.04570377614489e-05,0.241460892234475,0,0.189753613820318,0,4.34013021755053e-05,7.18085781306055e-05,0.000374385876517835,0.000629679264143368,0.000347573001079016,0.0415436665609521,0,0,0.000793867829134487,0,0,0,0,0.000793962774164769,0.000596311024374074,0.000137794296548921,0.000615238192561374,5.93688426200334e-05,0,0.000121374187118328,0.386447444705597,0,0,0.000130463682473492,2.82248047255296e-05,2.2157439514281e-06,0,1.08974790399285e-05,0,0,0.000284895956892073,0,0.000117436269910565,0,0.000245957789630324,0.000390265832578729,0,0,7.57335081058574e-06,3.92483780520259e-06,1.36678016020575e-05,0,0.000119854307923384,1.6880979402556e-05,0,0,5.43599314539733e-06,4.02188022943228e-05,4.99235615646354e-05,5.56748142865882e-06,0,0.25259333815859,0.000200959868982609,0,0,0.000121178177663217,0.000512528145150237,0,0,0,0,0.000351404257582066,0,0.000118974894947388,0.00023192395772631,3.96768230225275e-05,0.000590333952594113,0.000524347444790241,0.000446429665528658,0.000396704922495772,0.000321096728964188,0,0,4.13820777289686e-06,0,2.27228707838645e-05,1.03808330094157e-05,3.45857689501017e-05,0,0,7.30777579061037e-06,0,8.03374575797378e-06,0.000101320099444413,2.93734034323423e-05,7.04108131732717e-06,0.00024912753441142,0.000559390242361846,0,0.000125951017331261,0,0,0,0,0,0,0,0,0.000351391507971255,0,0,0.909658212566634,4.7608849389813e-05,0.000367015870161524,0.000400891611248677,0,0.000299234134668813,3.6058761952118e-05,9.34968146426574e-05,0,2.78589114514061e-05,0,0,0.000420783054140728,0.000149313256144312,0.000144808292580567,0.000117800032628401,0.00014550090546972,0,0,0,0.000185445293759856,0,0,7.80625509655408e-06,0,0,0.984353444505178,9.57650973421043e-05,0,5.45723729269421e-05,4.0052567701121e-05,0,0.135121744375215,0.000413615216805385,0.000793768728937994,0.000235773842552467,0.000234901897516515,0.000325966917774645,2.94415255028824e-05,0.000144061830409936,0.00014144790882431,0.000793816998486574,0,0,4.86892167439468e-06,0,2.07584526160653e-05,2.45854726010908e-06,6.21831735825307e-06,0,0.000793954266095742,0,0.000211101727294993,1.1226526989816e-05,0,0.000218404421076346,0.000225770521401936,0.000227168951003276,0.000264572484312442,0,0.000173048372634321,0.000280144479788969,6.16363022643007e-06,0.00044928469046257,0,0,0.000125156083266242,0,0.426901633917135,0.221482240327799,1.8284883241737e-05,0.000210565771623927,0.000394894381936628,6.35007094478279e-05,8.12462599888431e-05,0.0855128503848837,0,7.37784711152267e-05,0.000146408742851212,0.000331207136410994,0,3.88263863420057e-05,0.000793944541129132,0,0.000153115230651202,0,0.215599827569742,0.000198832248878844,0.000469141510536453,0.000327673203943446,5.97748020103595e-06,8.19289534004231e-06,0
"KL0014",0,0,0.250110551129534,0,0.119030417136215,0,0.773875474830067,0.000793948544807299,1,0,0.620438798496859,0,0,0,0,0,0,0,0.155600711476561,0,0,0,0,0.0778044401578998,0.125534744638679,0.517658771278512,0.740096184824975,0.489656797693331,9.64769897249251e-06,0,0,0.913348953803671,0,0,0,0,0.982992650113421,0.714887941591984,0.227760405677575,0.729308908550771,0.104928096680011,0,0.203378025353782,0.000527323019301695,0,0,0.216957330121336,0.0512953185605269,0.00412428032488066,0,0.0201215561020391,0,0,0.419885854241789,0,0.197430561890891,0,0.373200804077746,0.533759054568333,0,0,0.0140267719645906,0.00729391070518093,0.024764096572883,0,0.201087195118229,0.0308474663160144,0,0,0.0100880810326306,0.0701562751929559,0.0889768403688093,0.0103308363766315,0,7.10914897260606e-05,0.315695392530744,0,0,0.203082918653893,0.646916525704937,0,0,0,0,0.493722525334154,0,0.199759035972003,0.355691783406433,0.0713657776898889,0.710265706131645,0.656937326486183,0.588001908244689,0.540188332509017,4.95829100000122e-08,0,0,0.0076889134140915,0,0.0415035784496229,0.0191767414841612,0.0624946004079856,0,0,0.0135382223339677,0,0.0148731418942623,0.172674479961066,0.0533271349834439,0.0130473715489362,0.377104006529417,0.685794794770292,0,0.210241346484132,0,0,0,0,0,0,0,0,0.493709031727955,0,0,0,0.0838328659906747,0.358640793979341,0.544338501172973,0,0.435664289872702,0.0650696696414553,0.160410457718023,0,0.0506471802151857,0,0,0.547711303150666,0.244474002987444,0.237975114457005,0.197981604426858,0.236852050598601,0,0,0,0.294914934309651,0,0,0.0144550231477167,0,0,0.000138909919652264,0.163983190182983,0,0.0968611861792747,0.0720172977409165,0,1.47183218335289e-06,0.556807636343423,0.825505610647761,0.3555708315355,0.359142583665004,0.466311481539672,0.0534475066681362,0.236893616456488,0.233096003870692,0.866080457520522,0,0,0.00904046784966106,0,0.037983653368823,0.00457429055844571,0.0115315468152994,0,0.980338001520335,0,0.329008107485496,0.0207228319615236,0,0.33846448853232,0.347007986363099,0.349673556618324,0.364179057624925,0,0.277938320357947,0.412914702698433,0.0114307116766357,0.580437418430676,0,0,0.209053042745149,0,9.09075050392616e-06,0.000384118014879475,0.0335333829119095,0.328309850646854,0.538386251745094,0.111822649537389,0.140872078448338,4.30568910437801e-05,0,0.128756900075654,0.24028943406701,0.47203952154254,0,0.0698895420178204,0.995316638936252,0,0.249921591290203,0,0.00155483226036379,0.31287562521518,0.608814918874024,0.468181315225028,0.0110874014067268,0.0151655478495392,0
"DU0091",1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
