"SUID","interaction","name","negated","selected","shared interaction","shared name","weight"
"1937","increases_interacts with","Prevotella_Haemophilus","false","false","increases_interacts with","test","2.5400670042791695"
"1938","increases_interacts with","Prevotella_Saccharomyces","false","false","increases_interacts with","Prevotella_Prevotella","0.7034821520375996"
"1939","increases_interacts with","Curvularia_Granulicatella","false","false","increases_interacts with","Curvularia_Curvularia","0.4622865444436002"
"1940","increases_interacts with","Saccharomyces_Haemophilus","false","false","increases_interacts with","Saccharomyces_Saccharomyces","1.53268014657489"
"1941","increases_interacts with","Candida_Haemophilus","false","false","increases_interacts with","Candida_Candida","12.4074776001461"
"1942","decreases_interacts with","Flu_B_Haemophilus","false","false","decreases_interacts with","Flu_B_Flu_B","3.0685185302279994"
"1943","decreases_interacts with","Saccharomyces_RV","false","false","decreases_interacts with","Saccharomyces_Saccharomyces","0.23001548814840156"
"1944","increases_interacts with","Saccharomyces_Haemophilus","false","false","increases_interacts with","Saccharomyces_Saccharomyces","1.53268014657489"
"1945","increases_interacts with","Streptococcus_Veillonella","false","false","increases_interacts with","Streptococcus_Streptococcus","17.0467154857029"
"1946","decreases_interacts with","Granulicatella_Streptococcus","false","false","decreases_interacts with","Granulicatella_Granulicatella","12.299052605931301"
"1947","decreases_interacts with","Flu_B_Streptococcus","false","false","decreases_interacts with","Flu_B_Flu_B","4.60518575261466"
"1948","decreases_interacts with","Curvularia_Flu_B","false","false","decreases_interacts with","Curvularia_Curvularia","0.6592928246821614"
"1949","decreases_interacts with","Saccharomyces_Veillonella","false","false","decreases_interacts with","Saccharomyces_Saccharomyces","20.2645262354153"
"1950","increases_interacts with","Saccharomyces_Streptococcus","false","false","increases_interacts with","Saccharomyces_Saccharomyces","11.263445773112998"
"1951","decreases_interacts with","Curvularia_Veillonella","false","false","decreases_interacts with","Curvularia_Curvularia","9.43576772954238"
"1952","increases_interacts with","Curvularia_Prevotella","false","false","increases_interacts with","Curvularia_Curvularia","5.70450128739952"
"1953","decreases_interacts with","Flu_B_Saccharomyces","false","false","decreases_interacts with","Flu_B_Flu_B","6.071555443471019"
"1954","increases_interacts with","Candida_Neisseria","false","false","increases_interacts with","Candida_Candida","2.6384808169945106"
"1955","increases_interacts with","Veillonella_Haemophilus","false","false","increases_interacts with","Veillonella_Veillonella","7.278831330025281"
"1956","decreases_interacts with","Prevotella_Granulicatella","false","false","decreases_interacts with","Prevotella_Prevotella","31.60986726122951"
"1957","increases_interacts with","Curvularia_Granulicatella","false","false","increases_interacts with","Curvularia_Curvularia","0.4622865444436002"
"1958","decreases_interacts with","Curvularia_Streptococcus","false","false","decreases_interacts with","Curvularia_Curvularia","6.999072736407719"
"1959","increases_interacts with","Curvularia_Neisseria","false","false","increases_interacts with","Curvularia_Curvularia","0.21557707568184092"
"1960","decreases_interacts with","Granulicatella_Veillonella","false","false","decreases_interacts with","Granulicatella_Granulicatella","3.825764110445199"
"1961","decreases_interacts with","Granulicatella_RV","false","false","decreases_interacts with","Granulicatella_Granulicatella","0.0359092160752299"
"1962","increases_interacts with","Veillonella_Haemophilus","false","false","increases_interacts with","Veillonella_Veillonella","7.278831330025281"
"1963","decreases_interacts with","Veillonella_Pseudomonas","false","false","decreases_interacts with","Veillonella_Veillonella","4.242559555412329"
"1964","decreases_interacts with","Streptococcus_Haemophilus","false","false","decreases_interacts with","Streptococcus_Streptococcus","3.118720669111931"
"1965","increases_interacts with","Saccharomyces_Streptococcus","false","false","increases_interacts with","Saccharomyces_Saccharomyces","11.263445773112998"
"1966","decreases_interacts with","Granulicatella_RV","false","false","decreases_interacts with","Granulicatella_Granulicatella","0.0359092160752299"
"1967","increases_interacts with","Prevotella_Haemophilus","false","false","increases_interacts with","Prevotella_Prevotella","2.5400670042791695"
"1968","decreases_interacts with","Flu_B_Streptococcus","false","false","decreases_interacts with","Flu_B_Flu_B","4.60518575261466"
"1969","increases_interacts with","Prevotella_Veillonella","false","false","increases_interacts with","Prevotella_Prevotella","12.134075088249503"
"1970","decreases_interacts with","Flu_B_Saccharomyces","false","false","decreases_interacts with","Flu_B_Flu_B","6.071555443471019"
"1971","decreases_interacts with","Granulicatella_Neisseria","false","false","decreases_interacts with","Granulicatella_Granulicatella","0.01701789931209774"
"1972","increases_interacts with","Streptococcus_Veillonella","false","false","increases_interacts with","Streptococcus_Streptococcus","17.0467154857029"
"1973","decreases_interacts with","Saccharomyces_Veillonella","false","false","decreases_interacts with","Saccharomyces_Saccharomyces","20.2645262354153"
"1974","decreases_interacts with","Veillonella_RV","false","false","decreases_interacts with","Veillonella_Veillonella","4.341178714000501"
"1975","decreases_interacts with","Granulicatella_Veillonella","false","false","decreases_interacts with","Granulicatella_Granulicatella","3.825764110445199"
"1976","increases_interacts with","Prevotella_Saccharomyces","false","false","increases_interacts with","Prevotella_Prevotella","0.7034821520375996"
"1977","decreases_interacts with","Streptococcus_Neisseria","false","false","decreases_interacts with","Streptococcus_Streptococcus","1.8554010331409003"
"1978","decreases_interacts with","Granulicatella_Neisseria","false","false","decreases_interacts with","Granulicatella_Granulicatella","0.01701789931209774"
"1979","decreases_interacts with","MPV_Pseudomonas","false","false","decreases_interacts with","MPV_MPV","10.309306644090597"
"1980","decreases_interacts with","Saccharomyces_Granulicatella","false","false","decreases_interacts with","Saccharomyces_Saccharomyces","1.6740955150975978"
"1981","decreases_interacts with","Curvularia_Veillonella","false","false","decreases_interacts with","Curvularia_Curvularia","9.43576772954238"
"1982","decreases_interacts with","RV_Pseudomonas","false","false","decreases_interacts with","RV_RV","0.34488573639819897"
"1983","decreases_interacts with","Veillonella_RV","false","false","decreases_interacts with","Veillonella_Veillonella","4.761792924313797"
"1984","increases_interacts with","Candida_Haemophilus","false","false","increases_interacts with","Candida_Candida","12.4074776001461"
"1985","decreases_interacts with","Prevotella_Veillonella","false","false","decreases_interacts with","Prevotella_Prevotella","32.3968739858036"
"1986","decreases_interacts with","Curvularia_Flu_B","false","false","decreases_interacts with","Curvularia_Curvularia","0.6592928246821614"
"1987","decreases_interacts with","Prevotella_Neisseria","false","false","decreases_interacts with","Prevotella_Prevotella","0.24671980614792943"
"1988","increases_interacts with","Prevotella_Streptococcus","false","false","increases_interacts with","Prevotella_Prevotella","6.4622978526414006"
"1989","increases_interacts with","Curvularia_Prevotella","false","false","increases_interacts with","Curvularia_Curvularia","5.70450128739952"
"1990","increases_interacts with","Prevotella_Streptococcus","false","false","increases_interacts with","Prevotella_Prevotella","6.4622978526414006"
"1991","decreases_interacts with","Streptococcus_Haemophilus","false","false","decreases_interacts with","Streptococcus_Streptococcus","3.118720669111931"
"1992","decreases_interacts with","Prevotella_Granulicatella","false","false","decreases_interacts with","Prevotella_Prevotella","2.450103905767101"
"1993","decreases_interacts with","RV_Pseudomonas","false","false","decreases_interacts with","RV_RV","0.34488573639819897"
